,x,y,filename,fringe,rx,ry,angle,cluster
14,216,153,06241902_proc_00014.png,1.687838554,45,41,12.5393761,1
15,216,148,06241902_proc_00015.png,1.290188313,44,40,9.454783274,1
16,215,147,06241902_proc_00016.png,1.276751041,45,41,11.45468828,1
17,214,147,06241902_proc_00017.png,1.205394506,45,41,10.29591936,1
18,214,146,06241902_proc_00018.png,1.318272591,46,41,13.32681666,1
19,213,147,06241902_proc_00019.png,1.267867565,47,42,12.49160576,1
20,214,148,06241902_proc_00020.png,1.194177628,46,42,8.90068247,1
21,215,147,06241902_proc_00021.png,1.187082767,46,42,10.060845599999999,1
22,215,147,06241902_proc_00022.png,1.130632401,45,41,7.035359942,1
23,214,147,06241902_proc_00023.png,1.1809225079999999,44,40,3.692735798,1
285,201,154,06241902_proc_00285.png,1.2244672779999999,51,36,151.6754292,1
289,209,172,06241902_proc_00289.png,2.770765305,67,48,161.222222,1
296,191,168,06241902_proc_00296.png,3.6081786160000004,57,41,175.3491675,1
299,211,157,06241902_proc_00297.png,2.004575729,44,30,40.63489907,1
304,189,164,06241902_proc_00302.png,3.2096204760000004,72,35,172.3923031,1
305,188,169,06241902_proc_00303.png,4.3336868289999995,73,40,170.824107,1
306,220,160,06241902_proc_00304.png,3.0842990880000003,56,39,174.5359071,1
313,173,127,06241902_proc_00311.png,2.5439903740000003,62,31,175.7950841,1
316,222,168,06241902_proc_00314.png,3.518354416,55,38,177.7519124,1
320,212,152,06241902_proc_00318.png,4.242562294,63,41,173.0389175,1
324,207,162,06241902_proc_00322.png,4.1209244730000005,61,39,173.7197661,1
327,221,157,06241902_proc_00325.png,2.626332998,54,35,172.1417051,1
330,208,160,06241902_proc_00328.png,3.0957093239999995,60,39,175.23656499999998,1
331,206,174,06241902_proc_00329.png,3.53655386,61,40,156.5503674,1
332,217,157,06241902_proc_00330.png,3.363501072,72,45,164.30535569999998,1
333,223,139,06241902_proc_00331.png,2.9932599069999997,55,37,147.76112460000002,1
334,231,128,06241902_proc_00332.png,2.468776703,58,33,157.5939196,1
335,225,151,06241902_proc_00333.png,3.260786295,56,36,143.55778519999998,1
341,216,130,06241902_proc_00339.png,2.9866471289999996,68,37,158.141472,1
342,221,133,06241902_proc_00340.png,2.740664244,62,37,169.0629709,1
345,207,162,06241902_proc_00342.png,3.482124329,55,34,173.5743847,1
346,209,164,06241902_proc_00343.png,4.120559692,56,40,6.041247679,1
347,220,173,06241902_proc_00344.png,2.1971411709999997,58,38,3.638528429,1
348,220,177,06241902_proc_00345.png,3.1959342960000003,60,43,5.833932655,1
349,215,161,06241902_proc_00346.png,2.674115181,61,38,159.3988773,1
350,211,165,06241902_proc_00347.png,2.406434774,60,42,175.84028030000002,1
351,170,159,06241902_proc_00348.png,1.909322977,54,36,18.10888738,1
352,230,121,06241902_proc_00349.png,2.324449778,60,31,155.1983469,1
353,203,156,06241902_proc_00350.png,3.751199484,65,48,170.7425102,1
357,196,117,06241902_proc_00354.png,2.543637276,60,36,174.890899,1
358,194,127,06241902_proc_00355.png,1.89125824,51,33,175.7351326,1
359,198,129,06241902_proc_00356.png,3.141165257,64,37,174.50701719999998,1
360,197,161,06241902_proc_00357.png,3.0738554,72,40,163.41369840000002,1
361,204,160,06241902_proc_00358.png,3.257843733,53,39,1.699594711,1
364,216,114,06241902_proc_00359.png,2.785081148,61,33,168.2030808,1
365,201,173,06241902_proc_00359.png,2.9989149569999998,58,34,0.372675345,1
366,208,159,06241902_proc_00360.png,4.52221489,77,42,13.78845463,1
368,186,175,06241902_proc_00362.png,2.551239967,56,39,2.291975844,1
370,207,157,06241902_proc_00364.png,3.6299700739999996,62,39,171.86397769999996,1
371,226,179,06241902_proc_00365.png,3.7223505969999997,61,42,0.8323957940000001,1
374,240,130,06241902_proc_00368.png,5.430671692000001,68,50,158.30693159999998,1
375,202,129,06241902_proc_00369.png,3.9117994310000004,62,41,152.186522,1
376,216,130,06241902_proc_00370.png,5.453624725,78,46,170.6167314,1
380,233,176,06241902_proc_00373.png,3.8177142139999996,51,41,176.8916511,1
381,222,172,06241902_proc_00374.png,2.678569555,62,36,29.20297923,1
382,229,179,06241902_proc_00375.png,3.1383714680000003,56,39,9.045789839,1
383,226,171,06241902_proc_00376.png,2.58241868,56,40,171.002836,1
385,221,113,06241902_proc_00378.png,3.368350267,73,40,175.7280125,1
387,196,171,06241902_proc_00380.png,3.771134853,65,37,178.92453419999998,1
388,198,166,06241902_proc_00381.png,1.782564878,37,31,163.90533200000002,1
389,204,157,06241902_proc_00382.png,3.0822434430000003,45,36,169.3151995,1
391,197,131,06241902_proc_00384.png,3.290864229,63,39,11.76734104,1
392,204,134,06241902_proc_00385.png,3.5082199569999997,68,42,171.5232631,1
393,217,144,06241902_proc_00386.png,4.55234766,75,47,169.7491121,1
394,210,151,06241902_proc_00387.png,3.188918829,60,38,160.2897372,1
395,201,162,06241902_proc_00388.png,2.658042431,44,35,164.0016001,1
396,204,164,06241902_proc_00389.png,2.2384209630000003,44,32,169.46769890000002,1
397,203,165,06241902_proc_00390.png,2.495521545,56,36,175.8125767,1
401,245,174,06241902_proc_00394.png,2.366872311,41,36,176.3597773,1
402,214,156,06241902_proc_00395.png,3.968276978,55,41,160.4051179,1
403,224,167,06241902_proc_00396.png,3.504650116,64,39,175.7864004,1
405,223,174,06241902_proc_00397.png,3.9501440530000003,58,44,14.48579475,1
406,236,163,06241902_proc_00398.png,2.931819201,50,40,16.80143891,1
407,215,136,06241902_proc_00399.png,4.9306058880000005,53,47,153.4119331,1
408,214,133,06241902_proc_00400.png,6.266638756,73,52,163.6099144,1
409,217,148,06241902_proc_00400.png,5.5706348420000005,67,51,170.3699669,1
410,226,135,06241902_proc_00401.png,4.896852016,66,46,150.425356,1
411,258,138,06241902_proc_00402.png,1.7932794090000002,40,32,127.6578801,1
414,227,165,06241902_proc_00405.png,2.4503264430000002,46,34,5.283110768999999,1
415,213,159,06241902_proc_00406.png,3.5639686580000003,60,40,168.365735,1
417,195,125,06241902_proc_00407.png,3.914001942,69,41,161.55038180000003,1
419,190,167,06241902_proc_00409.png,2.554922342,63,40,173.6586189,1
420,196,168,06241902_proc_00410.png,3.734770536,62,41,13.00575423,1
421,189,158,06241902_proc_00411.png,6.44500494,77,59,178.60663830000001,1
422,189,162,06241902_proc_00412.png,4.510113716,74,60,176.35387,1
423,187,156,06241902_proc_00413.png,3.693750858,59,38,177.78330219999998,1
424,196,154,06241902_proc_00414.png,3.5134067539999996,67,45,167.2248261,1
425,201,125,06241902_proc_00415.png,3.958177328,78,54,168.459055,1
426,210,126,06241902_proc_00416.png,4.257864475,77,50,159.46256540000002,1
427,209,129,06241902_proc_00417.png,3.731150627,55,43,157.2875532,1
430,174,178,06241902_proc_00420.png,1.5570588109999999,40,27,163.4308029,1
432,237,120,06241902_proc_00422.png,3.441204071,61,43,157.835348,1
433,224,143,06241902_proc_00423.png,4.358289719,56,42,7.234742128,1
434,222,146,06241902_proc_00424.png,6.290185452,69,60,178.99740569999997,1
435,221,157,06241902_proc_00425.png,5.608411312,62,49,2.16743204,1
436,224,159,06241902_proc_00426.png,5.514011383,61,53,10.60045359,1
437,224,161,06241902_proc_00427.png,3.010819435,52,38,173.8147899,1
438,231,153,06241902_proc_00428.png,5.053724289,58,52,179.6485137,1
439,225,153,06241902_proc_00429.png,3.984090328,47,40,179.43842869999997,1
440,203,151,06241902_proc_00430.png,6.140577792999999,64,53,175.2565412,1
441,220,138,06241902_proc_00431.png,3.935938835,58,49,160.63210039999998,1
442,231,128,06241902_proc_00432.png,2.201268435,47,35,172.59381240000002,1
445,202,144,06241902_proc_00435.png,3.448646545,56,39,165.22677209999998,1
446,205,134,06241902_proc_00436.png,3.531152725,61,45,157.915198,1
447,203,132,06241902_proc_00437.png,4.111843586,69,49,12.9563933,1
449,203,138,06241902_proc_00439.png,4.289407253,80,47,3.754472171,1
450,204,164,06241902_proc_00440.png,3.4212174419999997,63,41,3.411372132,1
