,x,y,filename,fringe,rx,ry,angle,cluster
297,48,338,06241902_proc_00297.png,2.507371187,53,41,139.81526499999998,4
302,49,352,06241902_proc_00300.png,2.214577198,48,39,18.15495359,4
354,72,340,06241902_proc_00351.png,1.3882870669999998,35,29,144.7499982,4
363,56,321,06241902_proc_00359.png,2.257339478,51,38,155.03468700000002,4
601,41,324,06241902_proc_00579.png,1.5909359459999999,58,49,164.510666,4
616,30,344,06241902_proc_00587.png,2.66863203,60,54,174.5742621,4
617,17,351,06241902_proc_00588.png,3.933001518,63,56,173.501662,4
619,21,346,06241902_proc_00589.png,5.245203495,85,77,0.767189473,4
995,58,345,06241902_proc_00875.png,2.050657749,50,41,147.27853080000003,4
1004,64,346,06241902_proc_00882.png,1.5047118659999998,51,43,1.369763595,4
1010,66,342,06241902_proc_00885.png,1.777861357,58,48,145.9896536,4
1013,68,343,06241902_proc_00886.png,2.582378149,57,51,101.96070379999999,4
1025,82,346,06241902_proc_00894.png,1.411660194,42,32,138.08624019999996,4
1046,61,338,06241902_proc_00905.png,1.681665421,50,43,148.3461986,4
1055,43,343,06241902_proc_00911.png,2.6333560940000003,76,64,151.111189,4
1057,45,335,06241902_proc_00912.png,2.7388672830000003,73,57,142.68851730000003,4
1061,49,337,06241902_proc_00913.png,3.372852325,72,58,140.0134771,4
1064,49,341,06241902_proc_00914.png,2.112354994,70,54,147.8611425,4
1100,46,348,06241902_proc_00937.png,2.290046453,57,49,8.907056744,4
1102,46,345,06241902_proc_00938.png,1.743153095,59,50,175.2581971,4
1105,49,340,06241902_proc_00939.png,1.7544732090000001,58,49,169.81106619999997,4
1108,61,335,06241902_proc_00940.png,2.1640861030000003,61,50,141.74176090000003,4
1127,69,358,06241902_proc_00950.png,2.573509693,66,56,20.22962526,4
1130,57,351,06241902_proc_00951.png,1.6765203480000002,52,40,166.3470649,4
1419,48,333,06241902_proc_01168.png,2.291270733,56,45,130.1954422,4
1422,51,335,06241902_proc_01169.png,2.399454117,60,47,130.398432,4
1425,43,338,06241902_proc_01170.png,2.193913221,56,46,142.753288,4
1438,72,357,06241902_proc_01179.png,1.699404955,51,44,153.8308696,4
1452,70,337,06241902_proc_01187.png,1.9405267240000001,58,40,127.5837315,4
1466,49,342,06241902_proc_01195.png,2.121329546,65,54,162.713353,4
1469,49,342,06241902_proc_01196.png,2.378053904,65,54,153.6951247,4
1472,52,338,06241902_proc_01197.png,2.123518467,60,48,142.8686465,4
1475,59,343,06241902_proc_01198.png,2.128783464,62,49,135.410336,4
1484,57,330,06241902_proc_01204.png,2.6964859960000003,79,49,138.3077945,4
1487,56,328,06241902_proc_01205.png,2.072588921,69,45,138.9245879,4
1491,65,335,06241902_proc_01206.png,1.684456825,51,37,132.45085600000002,4
1495,67,346,06241902_proc_01207.png,1.785748959,50,40,131.6032808,4
1498,69,351,06241902_proc_01208.png,1.5425167080000002,53,41,148.65101289999998,4
1501,73,357,06241902_proc_01209.png,1.475405455,59,43,140.62032240000002,4
1512,63,355,06241902_proc_01215.png,1.702745914,57,48,141.5384876,4
1518,47,341,06241902_proc_01218.png,2.3278999330000003,72,59,150.2780015,4
1526,63,340,06241902_proc_01224.png,1.346809387,54,43,125.2171461,4
1558,62,350,06241902_proc_01243.png,1.952623844,60,46,169.7516469,4
1561,62,344,06241902_proc_01244.png,1.82660532,55,46,40.88665301,4
1564,62,347,06241902_proc_01245.png,1.766922474,55,49,24.19933632,4
1566,66,350,06241902_proc_01246.png,1.799565554,57,51,34.4729278,4
1569,66,351,06241902_proc_01247.png,1.375747681,54,45,155.7692909,4
1608,25,339,06241902_proc_01271.png,2.2286961080000003,63,49,161.96757319999998,4
1611,34,340,06241902_proc_01272.png,2.39802599,64,51,153.1149991,4
1629,67,348,06241902_proc_01284.png,2.075359583,62,52,145.7044351,4
1632,63,353,06241902_proc_01285.png,2.04610157,52,41,1.872285265,4
1949,60,352,06241902_proc_01500.png,1.166220188,53,40,151.5904104,4
1952,57,345,06241902_proc_01501.png,1.9815015790000001,70,55,139.88707419999997,4
1955,56,346,06241902_proc_01502.png,2.040612459,84,59,128.48483159999998,4
1966,57,353,06241902_proc_01508.png,1.844267845,67,54,155.1194633,4
1969,57,345,06241902_proc_01509.png,1.49214983,65,51,137.4064281,4
1972,52,346,06241902_proc_01510.png,1.64035511,65,54,157.13914509999998,4
1974,52,343,06241902_proc_01511.png,2.4419820309999998,63,55,157.212404,4
1976,53,341,06241902_proc_01512.png,2.214315176,59,52,137.0395513,4
1979,57,336,06241902_proc_01513.png,2.087748528,54,48,157.3570999,4
1982,51,332,06241902_proc_01514.png,1.5062623019999999,60,53,178.5680216,4
2023,69,360,06241902_proc_01539.png,1.94473362,59,46,165.86153230000002,4
2026,73,356,06241902_proc_01540.png,1.785287619,53,40,0.16059052699999998,4
2369,40,313,06241902_proc_01815.png,1.8549699780000002,68,57,131.8577736,4
2372,48,324,06241902_proc_01816.png,1.835667133,61,52,129.8286849,4
2374,45,333,06241902_proc_01817.png,1.689107895,57,52,157.9716974,4
2405,47,360,06241902_proc_01842.png,1.551470995,71,57,168.0956078,4
2407,40,357,06241902_proc_01843.png,1.445919037,73,57,165.86264740000001,4
2409,41,354,06241902_proc_01844.png,1.8216638569999999,73,60,167.76156799999998,4
2411,45,348,06241902_proc_01845.png,1.8254506590000001,74,58,152.2541375,4
2414,37,363,06241902_proc_01847.png,1.881949425,73,64,153.0496086,4
2445,59,364,06241902_proc_01870.png,1.53787899,55,50,4.861546797,4
2447,62,359,06241902_proc_01871.png,1.490004301,59,50,158.1604701,4
2449,61,355,06241902_proc_01872.png,1.074215174,54,43,167.9611581,4
2463,31,339,06241902_proc_01883.png,2.133176088,74,63,165.8675258,4
2465,32,339,06241902_proc_01884.png,1.973380804,79,66,157.471526,4
2467,26,343,06241902_proc_01885.png,1.729532719,79,70,144.8506034,4
2469,27,348,06241902_proc_01886.png,1.722640514,72,66,171.4753459,4
2496,86,369,06241902_proc_01909.png,1.569828749,52,46,173.80779619999998,4
2499,85,367,06241902_proc_01910.png,1.312989712,54,46,175.6682996,4
2550,21,328,06241902_proc_01959.png,2.37772727,52,44,162.97565790000002,4
2552,19,331,06241902_proc_01960.png,2.219242811,48,39,152.9284155,4
