,x,y,filename,fringe,rx,ry,angle,cluster
249,307,266,06240913_proc_00246.png,2.722325802,56,49,61.28195987,5
292,290,264,06240913_proc_00285.png,1.0126600270000001,45,38,9.712381297,5
295,292,269,06240913_proc_00287.png,1.081538439,52,41,5.428856333,5
354,285,248,06240913_proc_00338.png,1.035000086,42,30,174.2404566,5
357,287,257,06240913_proc_00341.png,1.421067476,48,36,147.1424324,5
376,284,252,06240913_proc_00356.png,1.206482887,46,32,143.3645387,5
401,280,253,06240913_proc_00374.png,1.203864098,44,31,134.341671,5
403,271,258,06240913_proc_00375.png,0.995014191,41,28,117.96893229999999,5
436,277,254,06240913_proc_00404.png,1.4604320530000001,51,43,162.1261599,5
440,288,239,06240913_proc_00406.png,1.584864855,45,34,124.694763,5
443,288,238,06240913_proc_00407.png,1.5561699869999999,44,32,121.2262632,5
466,274,251,06240913_proc_00422.png,1.323159933,44,33,152.1204297,5
468,281,253,06240913_proc_00423.png,1.045279503,43,33,169.4252928,5
472,288,233,06240913_proc_00426.png,1.247576714,41,26,151.2861716,5
477,301,259,06240913_proc_00431.png,1.3544778819999999,44,32,141.2231105,5
489,275,248,06240913_proc_00440.png,1.200870991,41,32,144.9960865,5
490,278,248,06240913_proc_00441.png,1.299357653,39,31,133.96342190000001,5
491,280,251,06240913_proc_00442.png,1.151793242,44,29,151.725281,5
498,300,262,06240913_proc_00448.png,1.462063313,45,33,126.0488446,5
514,275,252,06240913_proc_00459.png,1.05058217,42,33,165.0679395,5
527,295,265,06240913_proc_00467.png,1.210357904,41,30,110.2064155,5
535,284,247,06240913_proc_00473.png,1.40218997,41,33,110.13469850000001,5
538,288,247,06240913_proc_00474.png,1.465533257,40,29,150.09212480000002,5
539,282,245,06240913_proc_00475.png,1.205757618,40,29,139.1520946,5
546,291,264,06240913_proc_00482.png,1.3132557870000001,42,32,105.0622175,5
548,289,259,06240913_proc_00483.png,1.7063295840000001,46,39,118.46859479999999,5
550,286,261,06240913_proc_00484.png,1.480834246,47,35,122.6342384,5
556,275,249,06240913_proc_00489.png,0.921760082,41,32,152.77315330000002,5
557,281,250,06240913_proc_00490.png,1.140750647,43,32,149.6984531,5
558,282,249,06240913_proc_00491.png,1.329498053,42,32,115.81115259999999,5
567,300,252,06240913_proc_00498.png,1.505218744,43,34,127.61461770000001,5
568,293,257,06240913_proc_00499.png,1.05712986,42,31,122.07763940000001,5
579,273,248,06240913_proc_00507.png,1.213398218,43,36,141.16453130000002,5
582,278,246,06240913_proc_00508.png,1.5710816380000001,43,37,127.1769152,5
585,281,248,06240913_proc_00509.png,1.503273249,45,40,130.21020910000001,5
593,301,262,06240913_proc_00515.png,1.286970377,45,34,117.9532365,5
596,296,254,06240913_proc_00516.png,1.590227604,47,39,112.8117365,5
598,297,254,06240913_proc_00517.png,1.629949093,45,37,108.50529540000001,5
600,294,261,06240913_proc_00518.png,1.177277803,44,33,110.90340900000001,5
606,284,253,06240913_proc_00522.png,1.244785309,40,31,166.96634269999998,5
608,279,246,06240913_proc_00523.png,1.350444555,42,31,148.53721169999997,5
609,275,248,06240913_proc_00524.png,1.498747349,43,35,136.77844340000001,5
610,275,247,06240913_proc_00525.png,1.390514135,45,36,131.493021,5
613,276,248,06240913_proc_00526.png,1.3125622270000001,45,36,133.17476729999998,5
615,279,252,06240913_proc_00527.png,1.399189234,46,35,141.9904651,5
622,296,254,06240913_proc_00532.png,1.520518064,45,34,145.051452,5
623,296,254,06240913_proc_00533.png,1.720459461,48,40,130.682824,5
626,296,254,06240913_proc_00534.png,1.7889359,47,40,119.05653059999999,5
630,298,256,06240913_proc_00535.png,1.548261642,46,37,143.5916493,5
633,292,258,06240913_proc_00536.png,0.860282898,44,33,153.05953799999997,5
637,284,248,06240913_proc_00539.png,1.791999102,48,38,116.81445959999999,5
