,x,y,filename,fringe,rx,ry,angle,cluster
209,130,126,06240910_proc_00209.png,1.9483346940000001,65,62,4.941642291,1
210,134,129,06240910_proc_00210.png,1.8521811959999999,65,60,179.4769983,1
211,130,129,06240910_proc_00211.png,2.10071516,69,66,3.393856325,1
212,131,131,06240910_proc_00212.png,2.121075392,68,64,4.637719791,1
213,133,133,06240910_proc_00213.png,2.214328766,69,64,6.549946081,1
214,132,129,06240910_proc_00214.png,2.318012953,68,64,8.487977681,1
215,132,131,06240910_proc_00215.png,2.398445845,71,65,10.4404086,1
216,131,130,06240910_proc_00216.png,2.460343599,71,66,12.80044472,1
217,132,132,06240910_proc_00217.png,2.5615837569999997,71,65,15.61874896,1
218,131,132,06240910_proc_00218.png,2.774288893,73,67,18.10388939,1
219,131,132,06240910_proc_00219.png,3.0128045080000003,74,68,16.32055431,1
220,132,131,06240910_proc_00220.png,2.686648607,72,66,12.34229526,1
221,130,130,06240910_proc_00221.png,2.79693675,73,68,18.71839297,1
222,128,131,06240910_proc_00222.png,2.794414997,74,70,20.75942766,1
223,127,131,06240910_proc_00223.png,3.011078835,74,70,24.20771184,1
224,125,129,06240910_proc_00224.png,3.1350450519999997,74,71,24.78073739,1
225,125,129,06240910_proc_00225.png,3.4468364719999998,73,70,22.59585209,1
226,125,130,06240910_proc_00226.png,3.1870155330000003,74,70,25.82469937,1
227,126,130,06240910_proc_00227.png,3.160664082,75,71,20.45249262,1
228,124,128,06240910_proc_00228.png,3.427913904,75,71,19.4879094,1
229,126,129,06240910_proc_00229.png,3.465895176,75,71,20.733756399999997,1
230,126,129,06240910_proc_00230.png,3.4588804239999997,77,73,25.64543764,1
231,127,129,06240910_proc_00231.png,3.249773264,75,71,23.39585165,1
232,129,127,06240910_proc_00232.png,3.308242559,74,71,14.88057968,1
233,132,126,06240910_proc_00233.png,3.3822572230000003,75,69,11.85077265,1
234,133,125,06240910_proc_00234.png,3.625320911,74,68,10.92787152,1
235,134,122,06240910_proc_00235.png,3.6765635010000004,74,67,5.75818543,1
243,160,130,06240910_proc_00243.png,4.808378696,70,65,26.86468787,1
244,161,147,06240910_proc_00244.png,8.010017395,95,80,173.30853330000002,1
245,163,153,06240910_proc_00245.png,9.823612212999999,104,87,152.2411584,1
251,140,162,06240910_proc_00251.png,6.236032486,107,87,3.310226422,1
281,127,160,06240910_proc_00275.png,7.890660286,97,93,163.2135021,1
