,x,y,filename,fringe,rx,ry,angle,cluster
231,295,118,06240913_proc_00231.png,1.4015474319999999,40,33,86.51493946,4
232,297,121,06240913_proc_00232.png,1.4640686509999998,49,37,117.3663389,4
234,294,152,06240913_proc_00233.png,1.186348915,43,30,47.718611200000005,4
246,300,148,06240913_proc_00244.png,1.5037534240000001,41,33,102.8053796,4
258,294,107,06240913_proc_00254.png,1.7152569290000002,45,38,115.58018290000001,4
264,304,126,06240913_proc_00259.png,2.051198244,48,34,135.9063717,4
270,296,108,06240913_proc_00264.png,1.8018131259999999,39,31,175.9750647,4
276,313,112,06240913_proc_00269.png,3.034814358,49,41,7.010671369,4
279,317,153,06240913_proc_00272.png,1.7883541580000002,47,30,179.1644136,4
280,309,153,06240913_proc_00273.png,2.147106171,48,38,128.9046218,4
289,301,109,06240913_proc_00282.png,2.476482868,51,42,138.01106719999999,4
290,305,107,06240913_proc_00283.png,2.780405998,52,35,165.3303212,4
291,302,113,06240913_proc_00284.png,3.1996264460000003,48,40,118.0056787,4
294,300,148,06240913_proc_00287.png,2.935199261,50,37,138.5119898,4
300,313,152,06240913_proc_00292.png,2.05046773,43,33,144.8104829,4
305,315,114,06240913_proc_00297.png,3.2894523139999996,50,39,156.03175290000001,4
306,308,117,06240913_proc_00298.png,3.206537724,51,35,170.1927679,4
309,306,123,06240913_proc_00300.png,4.31940937,56,46,123.44503300000001,4
315,305,146,06240913_proc_00305.png,2.697676897,53,37,14.06132325,4
317,309,150,06240913_proc_00306.png,3.077455282,48,37,158.37852560000002,4
318,301,147,06240913_proc_00307.png,1.970428944,45,32,169.59411459999998,4
319,305,148,06240913_proc_00308.png,1.9941952230000002,47,33,175.83394109999998,4
320,304,126,06240913_proc_00309.png,4.572663307,62,48,17.580970100000002,4
323,312,103,06240913_proc_00311.png,3.5178568360000004,47,36,143.5298566,4
329,326,111,06240913_proc_00316.png,4.222680092,57,38,161.77617759999998,4
331,313,106,06240913_proc_00317.png,4.7179212569999995,55,43,164.5973326,4
334,317,151,06240913_proc_00320.png,2.9534308910000004,46,34,147.7513916,4
335,309,154,06240913_proc_00321.png,4.0061903,50,38,160.0639738,4
336,306,157,06240913_proc_00322.png,2.724882603,46,34,155.1814575,4
339,310,114,06240913_proc_00325.png,4.515063286,53,36,160.1941726,4
342,297,125,06240913_proc_00328.png,5.1009082789999995,60,47,118.535032,4
344,316,118,06240913_proc_00330.png,3.948366642,46,34,139.4064885,4
345,318,158,06240913_proc_00330.png,2.947627068,43,33,143.2993855,4
347,310,107,06240913_proc_00331.png,3.679874897,50,38,150.06782980000003,4
351,302,146,06240913_proc_00335.png,3.143363953,56,35,169.5518946,4
352,303,127,06240913_proc_00336.png,3.746472836,55,38,169.2444388,4
356,317,151,06240913_proc_00340.png,2.98857379,49,37,168.8744611,4
364,312,155,06240913_proc_00348.png,2.412308455,48,36,142.64956130000002,4
366,313,148,06240913_proc_00349.png,3.2656803130000003,46,34,144.9592478,4
367,309,147,06240913_proc_00350.png,3.188542604,48,38,147.66579230000002,4
372,309,118,06240913_proc_00354.png,4.706244469,57,39,167.11820769999997,4
374,311,127,06240913_proc_00355.png,4.491996288,58,33,171.6164815,4
380,317,113,06240913_proc_00359.png,3.1316719060000002,45,33,161.97627480000003,4
381,305,156,06240913_proc_00359.png,2.300006866,44,34,168.7695477,4
387,311,132,06240913_proc_00364.png,5.024908066,62,43,2.6305461869999998,4
391,309,151,06240913_proc_00368.png,3.268738747,54,37,134.9027369,4
393,311,147,06240913_proc_00369.png,3.5754013060000003,50,38,156.9385886,4
395,303,152,06240913_proc_00370.png,2.934091568,53,36,167.1833242,4
398,315,112,06240913_proc_00372.png,4.517820358,60,47,155.2655474,4
400,314,114,06240913_proc_00374.png,5.9493246079999995,56,44,170.944758,4
405,313,150,06240913_proc_00377.png,2.986471415,52,35,169.6485145,4
406,311,152,06240913_proc_00378.png,3.978631735,49,31,156.98271499999998,4
411,305,145,06240913_proc_00383.png,3.814550877,48,39,158.428147,4
412,300,135,06240913_proc_00384.png,5.174435139,56,41,160.38083830000002,4
416,315,109,06240913_proc_00388.png,4.289970398,49,32,148.9651811,4
417,309,159,06240913_proc_00388.png,2.783234358,47,33,150.39720880000002,4
418,308,122,06240913_proc_00389.png,3.962716579,58,41,163.69385060000002,4
422,311,114,06240913_proc_00392.png,4.652881622,54,39,3.2778720289999996,4
423,312,112,06240913_proc_00393.png,5.171857834,53,39,160.8460664,4
426,311,154,06240913_proc_00396.png,3.423163414,53,38,154.099074,4
427,310,148,06240913_proc_00397.png,3.5505986210000002,51,38,137.41636259999999,4
428,308,148,06240913_proc_00398.png,3.308084011,49,34,145.0254802,4
433,308,114,06240913_proc_00402.png,4.478610516,60,41,170.78861990000001,4
438,307,116,06240913_proc_00405.png,3.807683945,65,43,153.14629680000002,4
442,316,105,06240913_proc_00407.png,4.190193176,54,35,160.5921934,4
444,311,118,06240913_proc_00408.png,3.734433174,60,41,147.070251,4
448,308,152,06240913_proc_00411.png,3.578690052,53,33,0.324896464,4
450,312,128,06240913_proc_00412.png,4.546304703000001,60,43,0.374830696,4
456,314,113,06240913_proc_00416.png,4.102562428,48,31,150.68868030000002,4
457,309,157,06240913_proc_00416.png,3.10677433,45,33,153.0370001,4
459,318,149,06240913_proc_00417.png,3.498707294,51,34,154.0476051,4
465,314,110,06240913_proc_00421.png,5.0953106880000005,57,37,176.6598055,4
467,316,124,06240913_proc_00423.png,4.304315567,63,47,145.7439102,4
470,308,148,06240913_proc_00425.png,3.2293705939999997,58,41,150.0795777,4
471,311,151,06240913_proc_00426.png,3.443997383,51,36,157.0820379,4
484,306,110,06240913_proc_00436.png,3.990493298,54,37,150.5635444,4
487,301,148,06240913_proc_00439.png,3.861403465,56,39,165.80874519999998,4
488,298,151,06240913_proc_00440.png,3.60824585,53,38,167.4395826,4
495,309,146,06240913_proc_00445.png,4.835012913,56,39,148.515963,4
501,310,111,06240913_proc_00450.png,5.020604134,61,39,152.0407607,4
505,314,146,06240913_proc_00454.png,2.879962683,48,34,150.70299640000002,4
507,313,114,06240913_proc_00455.png,4.440003395,54,34,143.39704009999997,4
508,303,155,06240913_proc_00455.png,2.542864799,52,33,147.48679009999998,4
513,302,153,06240913_proc_00459.png,3.309244633,55,39,177.7982234,4
516,308,144,06240913_proc_00460.png,4.598865032,61,45,174.97065940000002,4
522,315,107,06240913_proc_00464.png,4.911707401,57,39,140.739212,4
524,312,157,06240913_proc_00465.png,2.6659955980000003,51,33,155.96754740000003,4
530,311,116,06240913_proc_00469.png,5.485703468,56,44,148.5110282,4
532,318,117,06240913_proc_00470.png,4.703762053999999,62,43,157.79876380000002,4
537,305,154,06240913_proc_00474.png,2.997467995,47,33,161.1033237,4
542,312,119,06240913_proc_00478.png,4.829263687,55,40,153.283628,4
549,305,105,06240913_proc_00484.png,4.674514771,58,46,135.9690762,4
551,297,107,06240913_proc_00485.png,3.639033318,59,46,136.5160822,4
553,307,147,06240913_proc_00487.png,4.388745308,55,40,169.81775969999998,4
555,303,142,06240913_proc_00488.png,3.9742171760000002,56,40,173.3533956,4
