,x,y,filename,fringe,rx,ry,angle,cluster
185,277,265,06240914_proc_00185.png,1.331388712,47,40,85.35435372,1
187,298,260,06240914_proc_00187.png,2.796250105,49,40,93.25145441,1
191,303,263,06240914_proc_00191.png,1.125563383,42,42,85.83183175,1
197,302,253,06240914_proc_00197.png,2.057912588,43,41,38.71085527,1
198,297,269,06240914_proc_00198.png,1.178546906,41,32,106.9882899,1
199,299,258,06240914_proc_00199.png,1.768835783,44,37,103.7358494,1
204,295,258,06240914_proc_00204.png,2.20883894,67,57,42.62592653,1
206,291,257,06240914_proc_00206.png,1.255724192,49,42,13.77077213,1
207,281,256,06240914_proc_00207.png,0.82609129,51,48,14.699473800000002,1
210,292,260,06240914_proc_00210.png,1.849304438,50,44,96.66486194,1
211,300,259,06240914_proc_00211.png,1.6282937530000001,50,46,11.86401639,1
213,296,255,06240914_proc_00213.png,0.93803072,48,37,122.5216085,1
217,280,261,06240914_proc_00217.png,0.605401516,57,46,97.27192915,1
222,296,265,06240914_proc_00222.png,1.1417558190000001,47,41,163.1721385,1
224,291,268,06240914_proc_00223.png,0.744447231,57,45,47.41802824,1
225,290,262,06240914_proc_00224.png,1.197133064,46,40,99.75111023,1
227,282,265,06240914_proc_00225.png,1.6696658130000002,63,53,26.85819066,1
229,281,274,06240914_proc_00226.png,0.89006424,61,51,17.76918109,1
234,295,254,06240914_proc_00230.png,1.227758884,45,42,162.1974961,1
235,297,253,06240914_proc_00231.png,1.258125305,43,36,97.88336768,1
236,303,253,06240914_proc_00232.png,1.215817451,48,41,69.35344713,1
240,286,262,06240914_proc_00236.png,5.328891754,61,50,62.14685307,1
242,279,250,06240914_proc_00237.png,2.8264575,55,48,74.8960227,1
244,282,250,06240914_proc_00238.png,1.23200655,47,45,73.555762,1
245,288,255,06240914_proc_00239.png,2.4669411180000003,45,38,131.9091162,1
250,276,263,06240914_proc_00242.png,1.575368881,49,46,56.22694370000001,1
254,294,263,06240914_proc_00245.png,1.804917336,47,46,66.97227243,1
258,294,253,06240914_proc_00248.png,2.034573317,48,43,102.5325545,1
259,296,256,06240914_proc_00249.png,1.7854168419999998,48,39,98.56682373,1
260,297,264,06240914_proc_00250.png,1.482280254,47,42,91.88498627,1
263,286,258,06240914_proc_00253.png,1.403641462,54,47,50.65654877,1
264,298,256,06240914_proc_00254.png,1.39564395,54,47,58.37351506,1
266,290,240,06240914_proc_00255.png,1.407643795,45,36,79.20396645,1
267,284,247,06240914_proc_00256.png,2.269706249,49,43,72.51510755,1
269,277,256,06240914_proc_00258.png,1.3558468819999998,43,41,131.91594640000002,1
271,273,255,06240914_proc_00259.png,1.299512148,58,52,116.83142579999999,1
275,290,254,06240914_proc_00263.png,1.7448377609999999,47,41,128.71975590000002,1
276,291,254,06240914_proc_00264.png,2.060461044,48,41,141.2125817,1
277,288,257,06240914_proc_00265.png,2.470540047,50,45,78.69330735,1
279,301,260,06240914_proc_00267.png,1.581739187,49,41,118.35603329999999,1
283,290,256,06240914_proc_00271.png,1.5710961819999998,50,43,119.882403,1
285,293,248,06240914_proc_00272.png,1.8475434780000002,49,40,114.11396670000002,1
286,293,248,06240914_proc_00273.png,1.69697237,50,40,93.25743765,1
287,288,251,06240914_proc_00274.png,1.6806647780000001,47,39,113.4039207,1
288,279,256,06240914_proc_00275.png,1.23538518,44,38,110.3124747,1
289,282,252,06240914_proc_00276.png,1.584115982,54,41,107.8091625,1
292,292,262,06240914_proc_00279.png,1.9774868490000002,44,38,81.18711187,1
293,286,263,06240914_proc_00280.png,1.772826195,46,41,103.9891197,1
294,288,254,06240914_proc_00281.png,1.87604785,49,39,109.29644990000001,1
295,287,252,06240914_proc_00282.png,1.7287845609999999,48,42,101.882423,1
296,297,255,06240914_proc_00283.png,1.631625175,46,39,100.2732577,1
300,291,259,06240914_proc_00287.png,1.466947556,48,43,49.98137433,1
301,289,254,06240914_proc_00288.png,1.7655258180000002,42,36,71.29354188,1
302,294,248,06240914_proc_00289.png,2.090540171,47,42,75.22928812,1
303,291,252,06240914_proc_00290.png,2.097958565,45,40,115.24613889999999,1
304,285,250,06240914_proc_00291.png,1.5447225569999998,44,37,87.51692138,1
307,280,258,06240914_proc_00293.png,1.048840284,48,39,119.42732790000001,1
310,288,259,06240914_proc_00296.png,1.520278215,42,38,99.23667405,1
311,282,259,06240914_proc_00297.png,2.02031374,47,43,68.0901695,1
312,287,254,06240914_proc_00298.png,2.1345341209999997,48,44,67.62565516,1
313,286,259,06240914_proc_00299.png,1.689391136,46,41,96.55380989,1
314,293,262,06240914_proc_00300.png,2.222903728,47,43,96.92372611,1
318,279,252,06240914_proc_00303.png,1.288651943,45,38,90.97219296,1
319,282,249,06240914_proc_00304.png,1.45375824,45,39,97.81677334,1
320,288,247,06240914_proc_00305.png,1.929460764,45,37,99.93777929999999,1
321,289,251,06240914_proc_00306.png,2.415038586,50,45,35.29336671,1
323,290,249,06240914_proc_00307.png,1.573875189,41,38,87.6981946,1
324,284,246,06240914_proc_00308.png,2.128471851,45,35,118.3408976,1
325,276,248,06240914_proc_00309.png,1.7669126990000001,49,44,105.018197,1
329,289,264,06240914_proc_00313.png,3.278891802,50,43,102.8247637,1
330,282,263,06240914_proc_00314.png,2.8016970160000003,48,44,100.8964988,1
332,285,260,06240914_proc_00315.png,2.958835363,48,43,117.9722244,1
333,291,259,06240914_proc_00316.png,2.317540407,54,49,87.37244922,1
335,294,265,06240914_proc_00317.png,1.424931049,52,42,90.50192078,1
336,304,261,06240914_proc_00318.png,1.085609198,44,36,94.49229487,1
339,283,250,06240914_proc_00321.png,2.0986576080000003,47,37,72.99225774,1
340,286,247,06240914_proc_00322.png,1.784259319,42,36,86.54275199,1
341,290,246,06240914_proc_00323.png,2.579284668,48,44,102.7813168,1
342,287,250,06240914_proc_00324.png,2.246358156,45,41,123.5563071,1
343,280,248,06240914_proc_00325.png,1.9421303269999999,45,38,127.3750351,1
344,276,247,06240914_proc_00326.png,1.33528018,47,41,114.8113222,1
345,296,251,06240914_proc_00327.png,1.4888920780000001,53,39,114.4320828,1
348,293,262,06240914_proc_00329.png,1.7976367469999999,46,36,113.55550990000002,1
349,286,254,06240914_proc_00330.png,2.2326068880000003,47,40,102.4133131,1
350,283,258,06240914_proc_00331.png,1.58500886,41,37,91.12664403,1
351,287,256,06240914_proc_00332.png,2.156246901,48,40,27.54418924,1
352,295,256,06240914_proc_00333.png,1.709820747,46,40,125.65206869999999,1
353,291,265,06240914_proc_00334.png,1.555929184,46,38,114.5570206,1
357,285,254,06240914_proc_00338.png,1.519603729,54,36,73.50850392,1
358,287,246,06240914_proc_00339.png,2.08290863,48,41,88.31366978,1
359,282,250,06240914_proc_00340.png,3.05291748,52,46,92.79523875,1
360,283,250,06240914_proc_00341.png,3.1681332589999998,54,49,113.93877920000001,1
362,280,255,06240914_proc_00342.png,2.827299356,53,49,90.42493771,1
