,x,y,filename,fringe,rx,ry,angle,cluster
217,140,126,06240909_proc_00217.png,5.39127779,74,59,36.750437299999994,1
218,140,129,06240909_proc_00218.png,6.239027977,83,66,12.30644872,1
220,119,128,06240909_proc_00219.png,6.94493866,100,87,74.16699563,1
222,123,111,06240909_proc_00220.png,6.603508949,93,88,171.37437780000002,1
223,121,108,06240909_proc_00221.png,8.652533531,104,94,113.80677209999999,1
224,119,121,06240909_proc_00222.png,7.577888488999999,98,92,141.6006526,1
226,124,121,06240909_proc_00223.png,7.9689702989999995,97,89,152.2046254,1
227,120,118,06240909_proc_00224.png,7.480398178,101,93,3.272902853,1
228,125,119,06240909_proc_00225.png,7.372332573,107,93,171.29923119999998,1
229,134,118,06240909_proc_00226.png,9.979043961,99,88,131.4373755,1
230,127,115,06240909_proc_00227.png,8.31191349,93,79,58.93994265,1
234,116,120,06240909_proc_00230.png,9.754715919,98,94,141.938303,1
235,114,132,06240909_proc_00231.png,9.609343529,109,98,94.73165202,1
239,119,115,06240909_proc_00235.png,9.04345417,98,89,173.8865884,1
241,120,108,06240909_proc_00236.png,8.441259384,87,82,34.18746687,1
243,127,104,06240909_proc_00237.png,7.75125885,93,85,146.803457,1
247,119,106,06240909_proc_00240.png,8.091971397,100,93,98.95838482,1
248,126,115,06240909_proc_00241.png,7.558193207,95,83,153.5517505,1
253,112,123,06240909_proc_00246.png,9.314443588,105,93,66.22229034,1
254,118,120,06240909_proc_00247.png,8.306751251,102,91,9.023783822999999,1
255,115,112,06240909_proc_00248.png,9.449987411,96,89,124.75530239999999,1
257,109,118,06240909_proc_00249.png,9.704479218,108,99,154.7712005,1
259,130,127,06240909_proc_00251.png,9.25853157,106,92,111.25651609999998,1
262,115,131,06240909_proc_00253.png,8.046892166000001,90,86,1.0522724970000001,1
264,106,116,06240909_proc_00254.png,7.323373318,96,91,170.85982040000002,1
270,114,120,06240909_proc_00259.png,10.16793251,92,86,153.0856908,1
274,111,110,06240909_proc_00261.png,7.435896873,90,88,178.061901,1
279,123,114,06240909_proc_00265.png,8.141283035,83,73,2.598205454,1
281,103,113,06240909_proc_00267.png,10.12993526,104,98,178.27970480000002,1
283,116,131,06240909_proc_00269.png,10.37198162,112,98,125.38406909999999,1
287,127,118,06240909_proc_00272.png,9.403652191,97,88,66.02826516,1
296,119,115,06240909_proc_00279.png,7.744285583,105,94,104.27126109999999,1
298,121,110,06240909_proc_00280.png,6.4644804,98,87,92.62588421,1
299,121,102,06240909_proc_00281.png,8.634303093,98,92,110.85610990000002,1
300,121,119,06240909_proc_00282.png,7.155191897999999,88,84,151.96366319999998,1
303,122,108,06240909_proc_00283.png,7.888965607,93,83,164.4934198,1
306,109,119,06240909_proc_00285.png,6.613577843,103,97,2.558311814,1
310,122,154,06240909_proc_00288.png,8.212213516,93,75,5.650675691,1
311,108,128,06240909_proc_00289.png,9.805984497,98,90,19.45136447,1
312,114,124,06240909_proc_00290.png,8.703285217000001,87,74,97.26446375,1
315,101,123,06240909_proc_00292.png,7.023067473999999,91,83,173.4345946,1
320,127,126,06240909_proc_00295.png,8.193454742,91,71,158.5584072,1
325,101,106,06240909_proc_00300.png,8.230600357,94,91,7.2548997239999995,1
326,101,107,06240909_proc_00301.png,7.973128319,97,92,21.42938726,1
329,115,107,06240909_proc_00302.png,8.661712646,97,93,169.4545747,1
331,114,115,06240909_proc_00303.png,7.219883919,98,91,178.9777089,1
334,112,114,06240909_proc_00304.png,6.9346876139999996,101,85,175.08145269999997,1
336,104,120,06240909_proc_00306.png,10.3041954,105,98,89.6737312,1
337,111,125,06240909_proc_00307.png,8.081436157,98,87,147.3866834,1
339,113,120,06240909_proc_00309.png,6.774238586,87,79,176.2083861,1
340,119,121,06240909_proc_00310.png,7.123396873,95,85,173.99345309999998,1
342,112,129,06240909_proc_00311.png,8.034678459,100,80,9.502311999,1
344,108,129,06240909_proc_00312.png,9.51449585,104,89,166.7027538,1
346,111,130,06240909_proc_00313.png,9.140244484,91,89,62.20773055,1
347,124,131,06240909_proc_00314.png,10.846632000000001,102,96,87.27666265,1
348,115,129,06240909_proc_00315.png,8.645800591,98,88,117.1145781,1
350,121,118,06240909_proc_00316.png,7.82598114,98,88,8.753696799,1
351,117,113,06240909_proc_00317.png,5.362142086,91,78,9.513808915,1
353,122,110,06240909_proc_00318.png,5.83584404,91,82,9.979636354,1
355,122,105,06240909_proc_00319.png,6.802679062,93,81,0.624014407,1
357,119,107,06240909_proc_00320.png,4.96586132,110,94,173.3588141,1
359,116,110,06240909_proc_00321.png,7.108629227000001,109,88,168.0288384,1
360,118,111,06240909_proc_00322.png,7.43175602,90,83,64.11738314,1
361,114,114,06240909_proc_00323.png,8.112722397,89,82,175.47588290000002,1
362,123,121,06240909_proc_00324.png,6.89155817,92,86,16.31268423,1
370,91,112,06240909_proc_00331.png,10.54236126,100,91,129.4956074,1
371,99,120,06240909_proc_00332.png,8.854032516,97,92,149.4627092,1
373,114,133,06240909_proc_00333.png,10.19608784,91,82,163.32810590000003,1
377,116,122,06240909_proc_00335.png,8.658638,90,84,62.77997062,1
382,126,111,06240909_proc_00339.png,7.9520978929999995,94,89,171.8612123,1
383,122,113,06240909_proc_00340.png,4.53012991,91,84,162.71867880000002,1
389,122,111,06240909_proc_00346.png,7.281251431,86,72,2.909362406,1
390,115,111,06240909_proc_00347.png,6.8977799420000006,104,94,7.057716005,1
391,123,108,06240909_proc_00348.png,5.988036156000001,107,101,63.34663044,1
392,113,113,06240909_proc_00349.png,6.471707821,102,100,49.00972186,1
397,120,112,06240909_proc_00354.png,5.12428093,87,80,6.012297496,1
398,122,102,06240909_proc_00355.png,4.483295441,87,77,6.969040939,1
399,112,113,06240909_proc_00356.png,5.353798866,89,80,160.1757311,1
400,115,117,06240909_proc_00357.png,6.269226551,89,80,144.96097930000002,1
401,120,117,06240909_proc_00358.png,5.39366436,82,71,118.3937837,1
402,117,119,06240909_proc_00359.png,6.636099815,78,69,3.981664753,1
409,99,109,06240909_proc_00365.png,7.705227375,97,90,8.211492477,1
410,104,118,06240909_proc_00366.png,8.282133102000001,91,86,155.363395,1
411,97,118,06240909_proc_00367.png,8.286647797,95,91,123.4332305,1
419,115,99,06240909_proc_00374.png,5.02353096,90,89,158.0381688,1
426,132,109,06240909_proc_00381.png,6.43026638,89,86,125.557754,1
427,127,108,06240909_proc_00382.png,8.047538757,98,93,147.0288361,1
428,124,104,06240909_proc_00383.png,8.127765656000001,95,87,141.7799314,1
434,118,129,06240909_proc_00389.png,8.631034851,90,81,120.3200678,1
436,121,116,06240909_proc_00391.png,7.03034544,82,71,153.29592399999999,1
438,102,113,06240909_proc_00393.png,7.930017471,93,82,165.0244278,1
444,105,114,06240909_proc_00398.png,8.490060806,96,87,164.3831379,1
446,98,92,06240909_proc_00400.png,9.420175552,98,96,162.3322199,1
454,102,109,06240909_proc_00408.png,8.424848557,84,81,130.2429291,1
455,110,112,06240909_proc_00409.png,7.44846344,83,76,4.069950498,1
461,118,127,06240909_proc_00414.png,7.636064052999999,85,84,159.1033197,1
464,118,115,06240909_proc_00416.png,7.526085854,93,94,86.8873487,1
465,123,114,06240909_proc_00417.png,8.959253311,92,88,25.61381386,1
472,117,120,06240909_proc_00424.png,6.2676954270000005,90,86,116.6247716,1
480,92,126,06240909_proc_00432.png,8.612995148,84,76,149.3786056,1
481,93,119,06240909_proc_00433.png,10.14551926,97,85,140.4057246,1
482,100,121,06240909_proc_00434.png,10.54914284,93,82,99.31616379,1
488,106,106,06240909_proc_00440.png,8.797903061,99,97,129.434706,1
489,113,109,06240909_proc_00441.png,8.094371796,92,93,128.9086994,1
490,114,114,06240909_proc_00442.png,8.976015091,88,87,153.5124393,1
496,125,118,06240909_proc_00448.png,7.719689369,86,85,147.9362882,1
497,123,117,06240909_proc_00449.png,7.285998821000001,93,91,145.3709341,1
498,113,120,06240909_proc_00450.png,7.060995579,99,96,89.20587007,1
499,123,118,06240909_proc_00451.png,8.255409241,92,88,81.47960789,1
504,121,107,06240909_proc_00456.png,8.768249512,84,84,123.73254299999999,1
505,118,107,06240909_proc_00457.png,7.282320976,90,84,101.74508829999999,1
506,121,105,06240909_proc_00458.png,5.749513626000001,83,79,106.7712538,1
507,128,103,06240909_proc_00459.png,6.318061352000001,85,79,129.34398059999998,1
508,115,106,06240909_proc_00460.png,6.910562992000001,86,82,161.2914493,1
514,100,103,06240909_proc_00466.png,7.455444336,90,87,148.3298676,1
515,104,109,06240909_proc_00467.png,8.825126648,97,93,106.8829752,1
516,103,112,06240909_proc_00468.png,9.730612755,99,89,112.0503821,1
524,109,104,06240909_proc_00476.png,7.043495178,90,90,170.3414824,1
530,126,109,06240909_proc_00482.png,6.450028896,77,73,162.55880459999997,1
531,121,105,06240909_proc_00483.png,6.532120705,88,83,137.10104009999998,1
532,119,105,06240909_proc_00484.png,6.896258831,93,87,138.4521369,1
540,121,118,06240909_proc_00492.png,7.006989479,88,84,117.6410422,1
541,120,118,06240909_proc_00493.png,5.816882132999999,84,83,127.95220659999998,1
542,114,111,06240909_proc_00494.png,5.125312805,75,78,165.72012180000002,1
565,123,125,06240909_proc_00516.png,7.653987885,96,88,122.51654740000002,1
566,132,124,06240909_proc_00517.png,7.535061836000001,88,82,126.1531074,1
567,130,112,06240909_proc_00518.png,7.6875209810000005,85,81,113.26362859999999,1
574,129,118,06240909_proc_00525.png,7.713720322,91,82,119.4266791,1
575,126,128,06240909_proc_00526.png,8.220111847,87,78,116.2131229,1
576,119,131,06240909_proc_00527.png,7.309864043999999,91,84,112.6910402,1
581,105,122,06240909_proc_00532.png,7.1781778339999995,96,87,169.14728530000002,1
583,94,133,06240909_proc_00533.png,6.779660702,96,88,143.346145,1
584,98,120,06240909_proc_00534.png,8.841209412000001,97,89,145.3509865,1
585,100,115,06240909_proc_00535.png,8.956501007,97,93,135.867303,1
593,114,117,06240909_proc_00543.png,8.607577324,88,84,149.4830392,1
599,121,113,06240909_proc_00549.png,5.39695406,81,76,150.650643,1
601,122,126,06240909_proc_00550.png,6.71685648,91,87,129.3550182,1
602,128,131,06240909_proc_00551.png,6.469419003,91,85,117.9162374,1
603,113,132,06240909_proc_00552.png,7.194446564,96,95,93.59049817,1
604,117,131,06240909_proc_00553.png,8.627717972000001,95,92,94.34964637,1
610,118,107,06240909_proc_00559.png,7.031624794,94,90,90.13447709,1
611,119,112,06240909_proc_00560.png,6.5575895310000005,92,91,88.92835948,1
612,114,117,06240909_proc_00561.png,7.79061079,91,90,87.09316279,1
620,103,110,06240909_proc_00568.png,7.91749239,93,91,155.75142480000002,1
621,103,114,06240909_proc_00569.png,8.922758102000001,99,96,178.6604115,1
627,105,117,06240909_proc_00575.png,9.028541565,99,89,3.2815592639999998,1
629,109,109,06240909_proc_00576.png,8.04294014,102,98,164.1793404,1
630,113,108,06240909_proc_00577.png,6.968690395,92,90,161.0875221,1
636,111,113,06240909_proc_00583.png,7.301500797,93,87,154.53410580000002,1
638,125,109,06240909_proc_00584.png,5.8936553,86,81,160.60997749999999,1
639,124,114,06240909_proc_00585.png,4.845553398,89,84,155.92426619999998,1
640,117,114,06240909_proc_00586.png,5.4851861,90,84,7.296192487000001,1
641,118,121,06240909_proc_00587.png,8.122742653,94,86,133.4766856,1
647,121,125,06240909_proc_00592.png,7.618188381,95,90,22.79067469,1
649,115,119,06240909_proc_00593.png,6.591714859,94,89,60.64698451,1
650,117,117,06240909_proc_00594.png,6.955394267999999,92,86,28.10397959,1
651,113,112,06240909_proc_00595.png,6.996667862000001,91,87,9.067251147,1
653,114,105,06240909_proc_00596.png,5.882608414,99,90,8.651477041,1
655,113,102,06240909_proc_00597.png,3.8339133260000002,90,82,4.5531133839999995,1
657,129,105,06240909_proc_00598.png,3.577491522,80,72,161.7512782,1
