,x,y,filename,fringe,rx,ry,angle,cluster,,,filename,,
0.087650462,164,303,06240912_proc_01318.png,6.911910534,69,59,23.02182025,7,,,06240912_proc_,1318,.png
0.08937953,149,300,06240912_proc_01344.png,7.112940788,87,75,133.0472921,7,,,06240912_proc_,1344,.png
0.089446033,147,295,06240912_proc_01345.png,7.959574699,79,68,121.9795784,7,,,06240912_proc_,1345,.png
0.092106138,145,299,06240912_proc_01385.png,6.580561638,86,74,103.2388234,7,,,06240912_proc_,1385,.png
0.092438651,139,295,06240912_proc_01390.png,8.13748455,78,71,126.7377477,7,,,06240912_proc_,1390,.png
0.092505154,131,297,06240912_proc_01391.png,7.992571831,77,71,108.8934004,7,,,06240912_proc_,1391,.png
0.093103678,143,298,06240912_proc_01400.png,8.41413784,91,80,123.9831666,7,,,06240912_proc_,1400,.png
0.093436191,156,303,06240912_proc_01405.png,8.234045029,79,68,131.3760506,7,,,06240912_proc_,1405,.png
0.093502693,156,295,06240912_proc_01406.png,7.002563953,74,66,131.9441858,7,,,06240912_proc_,1406,.png
0.094699741,141,297,06240912_proc_01424.png,7.49645853,75,69,145.6097619,7,,,06240912_proc_,1424,.png
0.096428809,123,308,06240912_proc_01450.png,8.292255402,84,71,179.2156463,7,,,06240912_proc_,1450,.png
0.106271198,135,305,06240912_proc_01598.png,9.100946426,94,75,110.8324774,7,,,06240912_proc_,1598,.png
0.107734256,155,284,06240912_proc_01620.png,4.580179691,69,53,135.1013451,7,,,06240912_proc_,1620,.png
0.107800758,148,287,06240912_proc_01621.png,6.968255997,77,62,145.3846832,7,,,06240912_proc_,1621,.png
0.108731795,156,298,06240912_proc_01635.png,4.885947704,70,57,125.8376415,7,,,06240912_proc_,1635,.png
0.108798298,138,303,06240912_proc_01636.png,6.791203976,79,68,120.8115614,7,,,06240912_proc_,1636,.png
0.109795837,150,285,06240912_proc_01651.png,6.259064198,73,61,143.9806696,7,,,06240912_proc_,1651,.png
0.10986234,152,293,06240912_proc_01652.png,6.506287098,77,63,144.6452026,7,,,06240912_proc_,1652,.png
0.110460863,132,298,06240912_proc_01661.png,8.026073456,83,75,123.9451156,7,,,06240912_proc_,1661,.png
0.110726874,158,302,06240912_proc_01665.png,5.028502941,66,55,131.6436096,7,,,06240912_proc_,1665,.png
0.110926382,140,299,06240912_proc_01668.png,6.384082794,79,69,136.3833818,7,,,06240912_proc_,1668,.png
0.111790916,157,292,06240912_proc_01681.png,5.963963509,74,59,132.2243396,7,,,06240912_proc_,1681,.png
0.111857418,148,291,06240912_proc_01682.png,5.407469749,73,56,134.7911828,7,,,06240912_proc_,1682,.png
0.112455942,135,304,06240912_proc_01691.png,7.549967766,88,79,74.20919254,7,,,06240912_proc_,1691,.png
0.112522445,124,308,06240912_proc_01692.png,7.816704273,86,78,89.71889241,7,,,06240912_proc_,1692,.png
0.112854958,133,302,06240912_proc_01697.png,7.518390179,85,74,122.5331242,7,,,06240912_proc_,1697,.png
0.11292146,138,300,06240912_proc_01698.png,6.875545979,79,69,125.7070824,7,,,06240912_proc_,1698,.png
0.113985502,153,298,06240912_proc_01714.png,8.001003265,78,59,133.4760435,7,,,06240912_proc_,1714,.png
0.114318016,152,288,06240912_proc_01719.png,6.253726006,80,63,119.3052178,7,,,06240912_proc_,1719,.png
0.114717031,151,296,06240912_proc_01725.png,5.167592049,74,62,138.8718827,7,,,06240912_proc_,1725,.png
0.114916539,137,297,06240912_proc_01728.png,5.457324982,78,68,129.0013339,7,,,06240912_proc_,1728,.png
0.114983042,133,299,06240912_proc_01729.png,6.846549988,85,77,97.7204062,7,,,06240912_proc_,1729,.png
0.115781073,157,293,06240912_proc_01741.png,5.300872803,65,55,149.8531945,7,,,06240912_proc_,1741,.png
0.115914079,159,295,06240912_proc_01743.png,6.284200668,79,64,138.9795368,7,,,06240912_proc_,1743,.png
0.116379597,134,298,06240912_proc_01750.png,7.473937035,86,75,122.2015322,7,,,06240912_proc_,1750,.png
0.1164461,137,293,06240912_proc_01751.png,7.703652382,87,75,119.8544265,7,,,06240912_proc_,1751,.png
0.116512602,126,298,06240912_proc_01752.png,7.14982605,83,76,122.0156418,7,,,06240912_proc_,1752,.png
0.116778613,151,295,06240912_proc_01756.png,4.966470242,74,59,138.6283557,7,,,06240912_proc_,1756,.png
0.116978121,137,295,06240912_proc_01759.png,7.451639175,79,75,132.0515837,7,,,06240912_proc_,1759,.png
0.117044623,154,299,06240912_proc_01760.png,7.876205921,82,77,121.559631,7,,,06240912_proc_,1760,.png
0.11770965,161,291,06240912_proc_01770.png,2.958352566,60,47,121.897985,7,,,06240912_proc_,1770,.png
0.117776152,151,289,06240912_proc_01771.png,5.33741951,68,55,121.7452688,7,,,06240912_proc_,1771,.png
0.117842655,156,289,06240912_proc_01772.png,5.786984444,69,57,125.5909214,7,,,06240912_proc_,1772,.png
0.11797566,159,294,06240912_proc_01774.png,6.694734097,77,66,139.2690616,7,,,06240912_proc_,1774,.png
0.118042163,153,293,06240912_proc_01775.png,7.721758842,79,66,131.7721231,7,,,06240912_proc_,1775,.png
0.118108665,149,296,06240912_proc_01776.png,8.559705734,80,71,141.4763261,7,,,06240912_proc_,1776,.png
0.118241671,125,303,06240912_proc_01778.png,8.20989418,89,80,142.4752959,7,,,06240912_proc_,1778,.png
0.118308173,141,296,06240912_proc_01779.png,7.972637653,84,73,135.8801779,7,,,06240912_proc_,1779,.png
0.118374676,133,292,06240912_proc_01780.png,7.521821976,84,71,135.0890029,7,,,06240912_proc_,1780,.png
0.118441178,137,294,06240912_proc_01781.png,8.371753693,84,73,136.5114752,7,,,06240912_proc_,1781,.png
0.118507681,141,294,06240912_proc_01782.png,7.513658524,83,74,120.5426842,7,,,06240912_proc_,1782,.png
0.118574184,136,298,06240912_proc_01783.png,7.07588768,85,71,120.2581112,7,,,06240912_proc_,1783,.png
0.118707189,171,298,06240912_proc_01785.png,3.125388145,56,45,142.7435106,7,,,06240912_proc_,1785,.png
0.118773692,154,303,06240912_proc_01786.png,8.197813034,75,69,134.6578097,7,,,06240912_proc_,1786,.png
0.118840194,144,298,06240912_proc_01787.png,7.164369106,73,66,120.6238541,7,,,06240912_proc_,1787,.png
0.119106205,146,303,06240912_proc_01791.png,9.169692039,88,79,91.42216582,7,,,06240912_proc_,1791,.png
0.119172707,153,299,06240912_proc_01792.png,7.941164494,71,67,119.4184282,7,,,06240912_proc_,1792,.png
0.119305713,159,293,06240912_proc_01794.png,7.018207073,70,61,132.9278423,7,,,06240912_proc_,1794,.png
0.11950522,166,299,06240912_proc_01797.png,8.141282082,75,65,136.7151583,7,,,06240912_proc_,1797,.png
0.119837734,157,291,06240912_proc_01802.png,6.333418846,78,64,124.480418,7,,,06240912_proc_,1802,.png
0.119904236,153,292,06240912_proc_01803.png,6.009699345,77,61,126.5503956,7,,,06240912_proc_,1803,.png
0.121832812,162,297,06240912_proc_01832.png,4.499731064,74,59,121.9599758,7,,,06240912_proc_,1832,.png
0.122431336,144,298,06240912_proc_01841.png,6.324615479,75,66,126.5529979,7,,,06240912_proc_,1841,.png
0.123162865,135,301,06240912_proc_01852.png,11.9641552,84,75,90.81211382,7,,,06240912_proc_,1852,.png
0.123827891,163,300,06240912_proc_01862.png,6.530062199,75,66,131.2045719,7,,,06240912_proc_,1862,.png
