time,x,y,filename,fringe,rx,ry,angle,cluster,,,Area of ellipse,,
0.021746359,300,214,06240907_proc_00327.png,1.408710003,56,40,24.66586898,4,,,7037.167544,327,.png
0.021879364,298,180,06240907_proc_00329.png,1.625232935,48,44,21.01281743,4,,,6635.043684,329,.png
0.022544391,283,213,06240907_proc_00339.png,1.035181046,51,37,172.9600621,4,,,5928.185337,339,.png
0.022610893,285,214,06240907_proc_00340.png,1.299448252,58,41,178.1511271,4,,,7470.70733,340,.png
0.022677396,292,213,06240907_proc_00341.png,1.134474277,56,41,8.135499792,4,,,7213.096733,341,.png
0.022876904,280,176,06240907_proc_00344.png,0.827856541,52,42,7.577310266,4,,,6861.238355,344,.png
0.022943406,277,171,06240907_proc_00345.png,1.230371952,50,37,3.493173679,4,,,5811.946409,345,.png
0.023342422,294,169,06240907_proc_00351.png,1.770008802,58,42,13.74221767,4,,,7652.919704,351,.png
0.02354193,310,221,06240907_proc_00354.png,2.819895983,59,39,2.378369199,4,,,7228.804696,354,.png
0.023608433,309,217,06240907_proc_00355.png,2.372928619,66,35,177.0902237,4,,,7257.07903,355,.png
0.024206956,288,171,06240907_proc_00364.png,1.95882678,57,35,12.83546737,4,,,6267.477344,364,.png
0.024273459,278,174,06240907_proc_00365.png,1.972106934,59,35,8.256221678,4,,,6487.38883,365,.png
0.024339961,275,178,06240907_proc_00366.png,1.240969658,64,42,5.50098185,4,,,8444.601053,366,.png
0.024406464,275,197,06240907_proc_00367.png,0.897755623,62,50,167.329258,4,,,9738.937226,367,.png
0.024472967,286,211,06240907_proc_00368.png,1.294894695,60,40,179.6824076,4,,,7539.822369,368,.png
0.024539469,287,219,06240907_proc_00369.png,1.898143053,63,36,4.982865471,4,,,7125.132138,369,.png
0.024605972,291,216,06240907_proc_00370.png,1.378930092,60,36,1.865880896,4,,,6785.840132,370,.png
0.024871982,310,219,06240907_proc_00374.png,1.874759674,65,33,13.06031122,4,,,6738.716242,374,.png
0.024938485,308,217,06240907_proc_00375.png,2.004238367,62,44,4.984672483,4,,,8570.264759,375,.png
0.02507149,302,182,06240907_proc_00377.png,1.997599363,59,45,2.876870983,4,,,8340.928495,377,.png
0.025137993,302,174,06240907_proc_00378.png,2.448604107,68,44,0.22588927,4,,,9399.64522,378,.png
0.025204496,300,175,06240907_proc_00379.png,3.276227236,68,51,12.30461396,4,,,10895.04332,379,.png
0.025270998,295,177,06240907_proc_00380.png,2.363156319,61,49,176.0277255,4,,,9390.220442,380,.png
0.025404003,305,215,06240907_proc_00382.png,1.942169666,56,48,167.1654018,4,,,8444.601053,382,.png
0.025470506,295,167,06240907_proc_00383.png,1.297535658,57,29,172.2211906,4,,,5193.052656,383,.png
0.025470506,309,219,06240907_proc_00383.png,1.389293671,63,31,175.0842164,4,,,6135.530452,383,.png
0.025537009,285,164,06240907_proc_00384.png,1.582193375,53,34,179.7061017,4,,,5661.149962,384,.png
0.025537009,307,223,06240907_proc_00384.png,1.400604725,55,33,179.3562937,4,,,5701.990666,384,.png
0.025736517,287,218,06240907_proc_00387.png,2.274229527,62,40,174.1489509,4,,,7791.149781,387,.png
0.025803019,290,221,06240907_proc_00388.png,1.937561512,59,38,3.481978145,4,,,7043.450729,388,.png
0.025869522,291,216,06240907_proc_00389.png,1.942115784,55,41,172.8573019,4,,,7084.291434,389,.png
0.025936024,288,206,06240907_proc_00390.png,1.530755997,55,43,169.1255576,4,,,7429.866626,390,.png
0.026002527,281,186,06240907_proc_00391.png,1.257142544,58,48,7.834723874,4,,,8746.193948,391,.png
0.02606903,281,177,06240907_proc_00392.png,1.936876297,62,43,3.221146668,4,,,8375.486014,392,.png
0.026135532,283,172,06240907_proc_00393.png,2.400099754,63,47,0.098526172,4,,,9302.255847,393,.png
0.026202035,283,176,06240907_proc_00394.png,2.694221973,71,49,15.0333215,4,,,10929.60084,394,.png
0.026268538,278,179,06240907_proc_00395.png,1.737365246,52,45,165.6830595,4,,,7351.326809,395,.png
0.02633504,283,210,06240907_proc_00396.png,1.850917578,66,50,173.2165349,4,,,10367.25576,396,.png
0.026401543,291,218,06240907_proc_00397.png,1.75804615,66,39,172.4180068,4,,,8086.45949,397,.png
0.026468045,299,160,06240907_proc_00398.png,2.017763615,50,30,1.691313747,4,,,4712.38898,398,.png
