time,x,y,filename,fringe,rx,ry,angle,cluster,,,time,,
0.015428609,144,332,06240909_proc_00232.png,1.428843737,60,40,100.3467847,3,,,0.015428609,232,.png
0.01569462,137,286,06240909_proc_00236.png,2.254985332,79,61,21.00114976,3,,,0.01569462,236,.png
0.015761123,147,292,06240909_proc_00237.png,2.446128368,89,54,173.3982469,3,,,0.015761123,237,.png
0.015827625,158,290,06240909_proc_00238.png,2.137862206,69,49,13.01683194,3,,,0.015827625,238,.png
0.015894128,158,289,06240909_proc_00239.png,1.883630276,71,57,10.5592445,3,,,0.015894128,239,.png
0.016692159,143,323,06240909_proc_00251.png,2.204556704,74,56,25.85970238,3,,,0.016692159,251,.png
0.016758662,140,322,06240909_proc_00252.png,1.770708561,68,50,29.29430569,3,,,0.016758662,252,.png
0.016825165,141,314,06240909_proc_00253.png,2.286564112,74,55,17.56071347,3,,,0.016825165,253,.png
0.016891667,139,305,06240909_proc_00254.png,1.770451069,68,58,115.3385308,3,,,0.016891667,254,.png
0.01695817,127,301,06240909_proc_00255.png,1.865451336,91,70,154.4795617,3,,,0.01695817,255,.png
0.017024672,126,299,06240909_proc_00256.png,2.368534803,103,81,125.9041675,3,,,0.017024672,256,.png
0.017091175,129,302,06240909_proc_00257.png,2.499735355,108,83,161.0850239,3,,,0.017091175,257,.png
0.017157678,132,302,06240909_proc_00258.png,2.362018585,98,75,170.4101241,3,,,0.017157678,258,.png
0.01722418,134,302,06240909_proc_00259.png,2.588061094,97,71,1.56659556,3,,,0.01722418,259,.png
0.018022212,149,328,06240909_proc_00271.png,2.217464447,76,59,162.1975371,3,,,0.018022212,271,.png
0.018088715,148,326,06240909_proc_00272.png,1.823048592,87,67,43.91004649,3,,,0.018088715,272,.png
0.018155217,144,322,06240909_proc_00273.png,2.338690758,87,73,58.74745426,3,,,0.018155217,273,.png
0.01822172,157,317,06240909_proc_00274.png,1.871718884,81,69,121.2057453,3,,,0.01822172,274,.png
0.01848773,187,313,06240909_proc_00278.png,1.937703133,70,54,154.2788275,3,,,0.01848773,278,.png
0.019086254,219,316,06240909_proc_00287.png,0.918082237,54,34,125.3738204,3,,,0.019086254,287,.png
0.019285762,132,309,06240909_proc_00290.png,1.817281485,70,55,142.0283863,3,,,0.019285762,290,.png
0.019352264,126,305,06240909_proc_00291.png,1.942197084,78,55,177.2060144,3,,,0.019352264,291,.png
0.019418767,168,303,06240909_proc_00292.png,1.289310932,46,33,12.18470146,3,,,0.019418767,292,.png
0.01948527,134,300,06240909_proc_00293.png,1.904357433,87,61,157.341761,3,,,0.01948527,293,.png
0.020017291,187,333,06240909_proc_00301.png,2.009535789,47,36,89.0577984,3,,,0.020017291,301,.png
0.020083793,166,326,06240909_proc_00302.png,1.569931984,56,46,157.8227019,3,,,0.020083793,302,.png
0.020615814,196,335,06240909_proc_00310.png,0.888496876,60,48,164.4109999,3,,,0.020615814,310,.png
0.020948327,203,321,06240909_proc_00315.png,0.786661625,52,44,157.8973439,3,,,0.020948327,315,.png
0.021679856,158,336,06240909_proc_00326.png,1.309087276,70,48,140.9084368,3,,,0.021679856,326,.png
0.022078872,154,277,06240909_proc_00332.png,1.691229343,57,35,172.2022659,3,,,0.022078872,332,.png
0.022145375,165,281,06240909_proc_00333.png,1.040638447,40,31,176.8637596,3,,,0.022145375,333,.png
0.022411385,150,339,06240909_proc_00337.png,1.967722416,68,57,153.6511366,3,,,0.022411385,337,.png
0.040034581,163,322,06240909_proc_00602.png,1.668853521,53,39,153.4173238,3,,,0.040034581,602,.png
0.042761189,156,329,06240909_proc_00643.png,1.179201126,48,34,128.8752623,3,,,0.042761189,643,.png
0.042827692,162,332,06240909_proc_00644.png,0.973406315,47,35,138.4587417,3,,,0.042827692,644,.png
0.042894194,162,333,06240909_proc_00645.png,1.08489871,47,38,147.3100726,3,,,0.042894194,645,.png
0.042960697,170,329,06240909_proc_00646.png,1.012524605,45,34,154.569826,3,,,0.042960697,646,.png
0.043891734,146,283,06240909_proc_00660.png,2.045697212,61,51,34.82291011,3,,,0.043891734,660,.png
0.043958236,144,287,06240909_proc_00661.png,1.943675995,67,55,170.7492985,3,,,0.043958236,661,.png
0.044290749,139,304,06240909_proc_00666.png,1.960459948,71,55,105.940614,3,,,0.044290749,666,.png
0.044357252,131,300,06240909_proc_00667.png,2.069369793,72,61,96.06451563,3,,,0.044357252,667,.png
0.046551839,194,310,06240909_proc_00700.png,1.232822895,49,40,58.40802118,3,,,0.046551839,700,.png
0.046618341,187,314,06240909_proc_00701.png,1.121805668,47,39,9.390780986,3,,,0.046618341,701,.png
0.049012436,132,307,06240909_proc_00737.png,1.439322948,82,62,138.6059254,3,,,0.049012436,737,.png
0.049078939,133,306,06240909_proc_00738.png,1.974906683,83,65,156.365102,3,,,0.049078939,738,.png
0.049145441,130,304,06240909_proc_00739.png,1.994502306,88,65,134.4352582,3,,,0.049145441,739,.png
0.049211944,128,306,06240909_proc_00740.png,1.707569122,86,65,133.9485526,3,,,0.049211944,740,.png
0.049477954,145,301,06240909_proc_00744.png,1.983191967,63,55,107.4724615,3,,,0.049477954,744,.png
0.049544457,144,309,06240909_proc_00745.png,1.714032888,68,57,111.2440578,3,,,0.049544457,745,.png
0.04961096,126,317,06240909_proc_00746.png,1.885163784,84,64,154.7795982,3,,,0.04961096,746,.png
0.050342489,148,296,06240909_proc_00757.png,1.617451906,85,66,157.651189,3,,,0.050342489,757,.png
0.050408991,149,297,06240909_proc_00758.png,1.982207537,90,68,98.52104781,3,,,0.050408991,758,.png
0.050475494,148,303,06240909_proc_00759.png,1.730552673,93,73,167.5087161,3,,,0.050475494,759,.png
0.050541996,144,310,06240909_proc_00760.png,1.433206081,94,77,148.0679538,3,,,0.050541996,760,.png
0.050608499,142,318,06240909_proc_00761.png,1.51293087,85,65,131.7420873,3,,,0.050608499,761,.png
0.050675002,146,324,06240909_proc_00762.png,1.858072042,83,66,104.448163,3,,,0.050675002,762,.png
0.050741504,153,332,06240909_proc_00763.png,1.646690845,73,60,103.0063101,3,,,0.050741504,763,.png
0.050808007,149,325,06240909_proc_00764.png,1.900167227,81,61,108.239362,3,,,0.050808007,764,.png
0.05087451,148,323,06240909_proc_00765.png,2.102335691,78,64,106.9770406,3,,,0.05087451,765,.png
0.050941012,147,319,06240909_proc_00766.png,1.716918468,75,63,110.2396648,3,,,0.050941012,766,.png
0.051007515,153,312,06240909_proc_00767.png,1.359237671,80,68,98.21881877,3,,,0.051007515,767,.png
0.051074017,166,307,06240909_proc_00768.png,1.363134146,66,58,125.3492215,3,,,0.051074017,768,.png
0.051606038,135,312,06240909_proc_00776.png,1.397050858,82,63,141.2992978,3,,,0.051606038,776,.png
0.051672541,134,302,06240909_proc_00777.png,2.012069464,86,72,114.1782593,3,,,0.051672541,777,.png
0.051739044,142,303,06240909_proc_00778.png,2.103981972,93,79,71.20013221,3,,,0.051739044,778,.png
0.051805546,144,302,06240909_proc_00779.png,2.325370789,89,76,75.6827034,3,,,0.051805546,779,.png
0.051872049,145,302,06240909_proc_00780.png,2.38824892,94,83,74.85676277,3,,,0.051872049,780,.png
0.051938552,147,307,06240909_proc_00781.png,2.107929707,89,76,102.2213711,3,,,0.051938552,781,.png
0.052005054,147,313,06240909_proc_00782.png,2.195332289,81,68,121.8496819,3,,,0.052005054,782,.png
0.052071557,152,318,06240909_proc_00783.png,2.005120754,80,64,131.5812159,3,,,0.052071557,783,.png
