time,x,y,filename,fringe,rx,ry,angle,cluster,,,Area of ellipse,,
0.015029594,145,314,06240913_proc_00226.png,7.728021145,83,65,115.2971945,3,,,16948.89237,226,.png
0.035512403,174,302,06240913_proc_00534.png,1.330385685,45,30,126.802959,3,,,4241.150082,534,.png
0.035578905,177,308,06240913_proc_00535.png,1.105631351,46,28,116.8894892,3,,,4046.371338,535,.png
0.035645408,175,313,06240913_proc_00536.png,1.129929543,43,27,116.2742872,3,,,3647.389071,536,.png
0.036642947,174,316,06240913_proc_00551.png,1.400021076,41,28,119.5202732,3,,,3606.548366,551,.png
0.03670945,174,313,06240913_proc_00552.png,1.346729994,39,28,115.8008117,3,,,3430.619178,552,.png
0.037640487,175,308,06240913_proc_00566.png,1.283458233,41,31,110.857797,3,,,3992.964263,566,.png
0.037706989,171,303,06240913_proc_00567.png,1.300950527,44,31,117.0231833,3,,,4285.132379,567,.png
0.037773492,168,310,06240913_proc_00568.png,1.296262264,46,33,110.6181324,3,,,4768.937648,568,.png
0.037839995,170,308,06240913_proc_00569.png,1.5293262,45,32,112.1156104,3,,,4523.893421,569,.png
0.037906497,168,312,06240913_proc_00570.png,1.307252407,47,32,112.3009476,3,,,4724.955351,570,.png
0.038372016,160,287,06240913_proc_00577.png,1.434812307,54,31,112.7325336,3,,,5259.026102,577,.png
0.038837534,161,292,06240913_proc_00584.png,1.633617878,52,33,104.9197534,3,,,5390.972994,584,.png
0.038904037,177,299,06240913_proc_00585.png,1.497601509,48,30,104.0288304,3,,,4523.893421,585,.png
0.038970539,175,308,06240913_proc_00586.png,1.506846905,48,31,100.298946,3,,,4674.689869,586,.png
0.039037042,167,312,06240913_proc_00587.png,1.589684963,58,34,105.903772,3,,,6195.220713,587,.png
0.03950256,166,291,06240913_proc_00594.png,1.331627846,46,31,104.8600439,3,,,4479.911124,594,.png
0.039901576,172,306,06240913_proc_00600.png,1.346819878,44,32,109.8910725,3,,,4423.362456,600,.png
0.039968079,172,306,06240913_proc_00601.png,1.640641451,54,38,94.62989587,3,,,6446.548125,601,.png
0.040034581,172,301,06240913_proc_00602.png,1.960875988,57,41,100.1674786,3,,,7341.902031,602,.png
0.040101084,169,301,06240913_proc_00603.png,1.693274498,50,36,109.7826705,3,,,5654.866776,603,.png
0.040167587,167,300,06240913_proc_00604.png,0.840117455,43,27,118.9151867,3,,,3647.389071,604,.png
0.040965618,160,297,06240913_proc_00616.png,0.791256905,41,33,123.2624621,3,,,4250.57486,616,.png
0.041032121,172,299,06240913_proc_00617.png,1.323927402,48,33,104.8232429,3,,,4976.282763,617,.png
0.041098623,168,296,06240913_proc_00618.png,1.995070219,53,36,103.028679,3,,,5994.158783,618,.png
0.041165126,163,297,06240913_proc_00619.png,2.083413363,56,38,106.949269,3,,,6685.309167,619,.png
0.041231629,163,294,06240913_proc_00620.png,1.84870863,53,36,109.4331424,3,,,5994.158783,620,.png
0.041364634,166,291,06240913_proc_00622.png,0.778179646,46,30,128.4234965,3,,,4335.397862,622,.png
0.041564142,161,279,06240913_proc_00625.png,1.356117249,47,33,126.1282319,3,,,4872.610206,625,.png
0.041630644,164,283,06240913_proc_00626.png,1.600330353,50,35,116.4269488,3,,,5497.787144,626,.png
0.041697147,163,287,06240913_proc_00627.png,1.728610992,56,31,107.9307399,3,,,5453.804847,627,.png
0.04176365,164,288,06240913_proc_00628.png,1.695715904,54,33,108.4081291,3,,,5598.318109,628,.png
0.041830152,163,288,06240913_proc_00629.png,1.336523294,51,32,112.0860835,3,,,5127.079211,629,.png
0.042162665,165,291,06240913_proc_00634.png,1.338081121,61,40,93.53169024,3,,,7665.486075,634,.png
0.042229168,163,293,06240913_proc_00635.png,1.316104174,57,36,95.42950611,3,,,6446.548125,635,.png
0.042295671,176,295,06240913_proc_00636.png,1.774941921,53,36,80.97492521,3,,,5994.158783,636,.png
0.042362173,177,301,06240913_proc_00637.png,1.385390997,47,29,92.8834848,3,,,4281.990787,637,.png
0.042428676,166,307,06240913_proc_00638.png,1.526515484,50,33,109.3423214,3,,,5183.627878,638,.png
0.042694686,169,294,06240913_proc_00642.png,1.052870512,48,32,106.9196328,3,,,4825.486316,642,.png
0.042827692,163,296,06240913_proc_00644.png,1.58571291,56,37,94.96502593,3,,,6509.379978,644,.png
0.042894194,165,297,06240913_proc_00645.png,1.603601456,54,35,106.4283851,3,,,5937.610115,645,.png
0.043226707,164,294,06240913_proc_00650.png,1.629935741,51,35,110.7280917,3,,,5607.742887,650,.png
0.04329321,165,301,06240913_proc_00651.png,2.058505774,56,40,103.7656359,3,,,7037.167544,651,.png
0.043359713,169,303,06240913_proc_00652.png,1.870070457,54,39,99.49090052,3,,,6616.194128,652,.png
0.043426215,174,296,06240913_proc_00653.png,1.557584763,50,36,97.56482132,3,,,5654.866776,653,.png
0.043492718,170,296,06240913_proc_00654.png,1.772604227,53,36,104.6782653,3,,,5994.158783,654,.png
0.043559221,166,294,06240913_proc_00655.png,0.980987072,50,35,108.5868957,3,,,5497.787144,655,.png
0.043559221,162,292,06240913_proc_00655.png,1.416523695,48,35,116.4176939,3,,,5277.875658,655,.png
0.043891734,168,290,06240913_proc_00660.png,1.211704016,54,30,97.78708934,3,,,5089.380099,660,.png
0.043958236,170,291,06240913_proc_00661.png,1.348708153,53,32,100.1653954,3,,,5328.14114,661,.png
0.044024739,169,291,06240913_proc_00662.png,1.380457878,49,33,108.2821804,3,,,5079.955321,662,.png
0.044091242,169,288,06240913_proc_00663.png,0.988276958,49,32,114.6080148,3,,,4926.017281,663,.png
0.044157744,167,277,06240913_proc_00664.png,0.868386745,52,37,122.8427333,3,,,6044.424266,664,.png
0.044357252,161,291,06240913_proc_00667.png,1.491781712,53,39,113.474702,3,,,6493.672015,667,.png
0.044423755,158,294,06240913_proc_00668.png,1.731993198,56,37,112.9435045,3,,,6509.379978,668,.png
0.044490257,170,292,06240913_proc_00669.png,1.493799448,55,33,102.2263366,3,,,5701.990666,669,.png
0.04455676,162,294,06240913_proc_00670.png,1.920076609,60,40,106.4232625,3,,,7539.822369,670,.png
0.044623263,161,294,06240913_proc_00671.png,1.971766472,58,40,109.1668129,3,,,7288.494956,671,.png
0.044889273,164,286,06240913_proc_00675.png,0.590677261,41,27,135.9377598,3,,,3477.743068,675,.png
0.044955776,173,291,06240913_proc_00676.png,0.59001255,48,29,111.6671266,3,,,4373.096974,676,.png
0.045022278,169,290,06240913_proc_00677.png,0.997821808,52,29,105.8193781,3,,,4737.521722,677,.png
0.045088781,169,301,06240913_proc_00678.png,1.774458647,55,36,99.85064658,3,,,6220.353454,678,.png
