time,x,y,filename,fringe,rx,ry,angle,cluster,,,Area of ellipse,,
0.015362107,295,118,06240913_proc_00231.png,1.401547432,40,33,86.51493946,4,,,4146.902303,231,.png
0.015428609,297,121,06240913_proc_00232.png,1.464068651,49,37,117.3663389,4,,,5695.707481,232,.png
0.015495112,294,152,06240913_proc_00233.png,1.186348915,43,30,47.7186112,4,,,4052.654523,233,.png
0.016226641,300,148,06240913_proc_00244.png,1.503753424,41,33,102.8053796,4,,,4250.57486,244,.png
0.016891667,294,107,06240913_proc_00254.png,1.715256929,45,38,115.5801829,4,,,5372.123438,254,.png
0.01722418,304,126,06240913_proc_00259.png,2.051198244,48,34,135.9063717,4,,,5127.079211,259,.png
0.017556693,296,108,06240913_proc_00264.png,1.801813126,39,31,175.9750647,4,,,3798.185518,264,.png
0.017889207,313,112,06240913_proc_00269.png,3.034814358,49,41,7.010671369,4,,,6311.459641,269,.png
0.018088715,317,153,06240913_proc_00272.png,1.788354158,47,30,179.1644136,4,,,4429.645642,272,.png
0.018155217,309,153,06240913_proc_00273.png,2.147106171,48,38,128.9046218,4,,,5730.265,273,.png
0.018753741,301,109,06240913_proc_00282.png,2.476482868,51,42,138.0110672,4,,,6729.291464,282,.png
0.018820243,305,107,06240913_proc_00283.png,2.780405998,52,35,165.3303212,4,,,5717.69863,283,.png
0.018886746,302,113,06240913_proc_00284.png,3.199626446,48,40,118.0056787,4,,,6031.857895,284,.png
0.019086254,300,148,06240913_proc_00287.png,2.935199261,50,37,138.5119898,4,,,5811.946409,287,.png
0.019418767,313,152,06240913_proc_00292.png,2.05046773,43,33,144.8104829,4,,,4457.919975,292,.png
0.01975128,315,114,06240913_proc_00297.png,3.289452314,50,39,156.0317529,4,,,6126.105675,297,.png
0.019817783,308,117,06240913_proc_00298.png,3.206537724,51,35,170.1927679,4,,,5607.742887,298,.png
0.019950788,306,123,06240913_proc_00300.png,4.31940937,56,46,123.445033,4,,,8092.742676,300,.png
0.020283301,305,146,06240913_proc_00305.png,2.697676897,53,37,14.06132325,4,,,6160.663194,305,.png
0.020349804,309,150,06240913_proc_00306.png,3.077455282,48,37,158.3785256,4,,,5579.468553,306,.png
0.020416306,301,147,06240913_proc_00307.png,1.970428944,45,32,169.5941146,4,,,4523.893421,307,.png
0.020482809,305,148,06240913_proc_00308.png,1.994195223,47,33,175.8339411,4,,,4872.610206,308,.png
0.020549312,304,126,06240913_proc_00309.png,4.572663307,62,48,17.5809701,4,,,9349.379737,309,.png
0.020682317,312,103,06240913_proc_00311.png,3.517856836,47,36,143.5298566,4,,,5315.57477,311,.png
0.02101483,326,111,06240913_proc_00316.png,4.222680092,57,38,161.7761776,4,,,6804.689688,316,.png
0.021081333,313,106,06240913_proc_00317.png,4.717921257,55,43,164.5973326,4,,,7429.866626,317,.png
0.021280841,317,151,06240913_proc_00320.png,2.953430891,46,34,147.7513916,4,,,4913.45091,320,.png
0.021347343,309,154,06240913_proc_00321.png,4.0061903,50,38,160.0639738,4,,,5969.026042,321,.png
0.021413846,306,157,06240913_proc_00322.png,2.724882603,46,34,155.1814575,4,,,4913.45091,322,.png
0.021613354,310,114,06240913_proc_00325.png,4.515063286,53,36,160.1941726,4,,,5994.158783,325,.png
0.021812862,297,125,06240913_proc_00328.png,5.100908279,60,47,118.535032,4,,,8859.291283,328,.png
0.021945867,316,118,06240913_proc_00330.png,3.948366642,46,34,139.4064885,4,,,4913.45091,330,.png
0.021945867,318,158,06240913_proc_00330.png,2.947627068,43,33,143.2993855,4,,,4457.919975,330,.png
0.022012369,310,107,06240913_proc_00331.png,3.679874897,50,38,150.0678298,4,,,5969.026042,331,.png
0.02227838,302,146,06240913_proc_00335.png,3.143363953,56,35,169.5518946,4,,,6157.521601,335,.png
0.022344883,303,127,06240913_proc_00336.png,3.746472836,55,38,169.2444388,4,,,6565.928646,336,.png
0.022610893,317,151,06240913_proc_00340.png,2.98857379,49,37,168.8744611,4,,,5695.707481,340,.png
0.023142914,312,155,06240913_proc_00348.png,2.412308455,48,36,142.6495613,4,,,5428.672105,348,.png
0.023209417,313,148,06240913_proc_00349.png,3.265680313,46,34,144.9592478,4,,,4913.45091,349,.png
0.023275919,309,147,06240913_proc_00350.png,3.188542604,48,38,147.6657923,4,,,5730.265,350,.png
0.02354193,309,118,06240913_proc_00354.png,4.706244469,57,39,167.1182077,4,,,6983.760469,354,.png
