time,x,y,filename,fringe,rx,ry,angle,cluster,,,Area of ellipse,
0.027864601,366,30,06240913_proc_00419.png,1.547918797,39,28,10.16663925,7,,,3430.619178,419
0.028795637,346,13,06240913_proc_00433.png,2.847791433,44,29,178.1577084,7,,,4008.672226,433
0.02886214,341,17,06240913_proc_00434.png,1.770308256,41,27,8.66699267,7,,,3477.743068,434
0.028928643,356,28,06240913_proc_00435.png,2.17710948,42,30,174.8739597,7,,,3958.406744,435
0.029394161,341,17,06240913_proc_00442.png,2.500640869,42,28,175.7745487,7,,,3694.512961,442
0.031322737,348,22,06240913_proc_00471.png,2.102744102,44,30,179.4158375,7,,,4146.902303,471
0.032320277,358,15,06240913_proc_00486.png,2.99990201,48,35,178.4650878,7,,,5277.875658,486
0.03391634,355,19,06240913_proc_00510.png,2.877363682,48,33,172.7778305,7,,,4976.282763,510
0.034514863,346,21,06240913_proc_00519.png,2.805838108,42,31,2.420731313,7,,,4090.353635,519
0.034913879,352,16,06240913_proc_00525.png,2.838084459,43,32,170.9039033,7,,,4322.831491,525
0.035113387,357,13,06240913_proc_00528.png,2.916354656,51,35,179.5985154,7,,,5607.742887,528
0.03517989,352,23,06240913_proc_00529.png,2.22085619,44,28,177.2488028,7,,,3870.442149,529
0.0354459,366,21,06240913_proc_00533.png,3.131644964,48,35,166.9401293,7,,,5277.875658,533
0.035512403,353,16,06240913_proc_00534.png,3.151273727,45,36,5.346392898,7,,,5089.380099,534
0.035778413,340,15,06240913_proc_00538.png,3.627581835,52,35,176.9633794,7,,,5717.69863,538
0.035844916,350,13,06240913_proc_00539.png,3.518881083,55,36,168.8288628,7,,,6220.353454,539
0.037041963,345,22,06240913_proc_00557.png,4.141562939,52,38,168.1269182,7,,,6207.787083,557
0.037108466,349,14,06240913_proc_00558.png,3.312368393,50,35,166.3965086,7,,,5497.787144,558
0.037374476,359,22,06240913_proc_00562.png,3.432860851,55,35,165.6471703,7,,,6047.565858,562
0.038039503,362,19,06240913_proc_00572.png,3.27209425,49,39,170.6281361,7,,,6003.583561,572
0.038970539,342,26,06240913_proc_00586.png,3.754851818,53,41,169.6533255,7,,,6826.680836,586
0.039037042,343,14,06240913_proc_00587.png,3.787589788,56,38,179.0394295,7,,,6685.309167,587
0.040234089,351,25,06240913_proc_00605.png,2.808615923,50,34,179.7290124,7,,,5340.707511,605
0.041231629,362,19,06240913_proc_00620.png,4.225072861,53,45,173.4277435,7,,,7492.698479,620
0.041298131,365,25,06240913_proc_00621.png,4.156453133,62,43,167.1784628,7,,,8375.486014,621
0.042096163,346,11,06240913_proc_00633.png,3.771281719,63,45,170.2904908,7,,,8906.415173,633
0.042162665,337,7,06240913_proc_00634.png,4.541485786,64,52,178.0726412,7,,,10455.22035,634
0.042229168,344,12,06240913_proc_00635.png,4.325050831,62,44,172.1646059,7,,,8570.264759,635
0.042495179,357,25,06240913_proc_00639.png,4.006955147,59,39,172.4531455,7,,,7228.804696,639
0.043160205,358,22,06240913_proc_00649.png,4.064369678,59,41,173.0829372,7,,,7599.512629,649
0.043758728,360,32,06240913_proc_00658.png,4.072576523,64,46,167.690073,7,,,9248.848772,658
0.045354792,343,11,06240913_proc_00682.png,4.103018284,61,41,167.6031571,7,,,7857.123227,682
0.045421294,358,15,06240913_proc_00683.png,4.162948608,67,46,171.4127327,7,,,9682.388558,683
0.045687305,351,26,06240913_proc_00687.png,3.612625599,62,40,173.3153015,7,,,7791.149781,687
0.045753807,355,24,06240913_proc_00688.png,4.012868881,61,41,162.9224183,7,,,7857.123227,688
0.048812928,360,30,06240913_proc_00734.png,3.576855659,61,43,177.3699471,7,,,8240.39753,734
0.048879431,356,27,06240913_proc_00735.png,3.497283936,57,38,171.9133617,7,,,6804.689688,735
0.048945933,356,25,06240913_proc_00736.png,3.524229527,58,39,172.4848667,7,,,7106.282582,736
