time,x,y,filename,fringe,rx,ry,angle,cluster,,,Area of ellipse,,
0.015894128,116,72,06240912_proc_00239.png,5.155480862,68,49,157.7225082,2,,,10467.78672,239,.png
0.016758662,114,104,06240912_proc_00252.png,6.253929138,72,49,156.9007459,2,,,11083.53888,252,.png
0.01695817,123,116,06240912_proc_00255.png,5.934241295,65,47,129.6068233,2,,,9597.565557,255,.png
0.017024672,133,114,06240912_proc_00256.png,5.620064259,64,49,113.4289124,2,,,9852.034562,256,.png
0.017157678,127,111,06240912_proc_00258.png,7.870113373,65,52,157.1485947,2,,,10618.58317,258,.png
0.017423688,138,116,06240912_proc_00262.png,6.652038574,70,49,141.6181618,2,,,10775.6628,262,.png
0.017490191,132,123,06240912_proc_00263.png,7.056298733,74,58,125.3490644,2,,,13483.71567,263,.png
0.019418767,127,73,06240912_proc_00292.png,6.795971394,67,46,159.8504792,2,,,9682.388558,292,.png
0.020349804,140,132,06240912_proc_00306.png,5.019472122,60,38,29.41769647,2,,,7162.83125,306,.png
0.020948327,131,128,06240912_proc_00315.png,6.358222008,78,46,165.6773674,2,,,11272.03444,315,.png
0.028064109,157,160,06240912_proc_00422.png,2.687684536,47,31,122.7625879,2,,,4577.300496,422,.png
0.028130611,164,159,06240912_proc_00423.png,1.445346355,43,28,92.07830112,2,,,3782.477555,423,.png
0.029394161,119,134,06240912_proc_00442.png,2.263527393,48,30,69.24781143,2,,,4523.893421,442,.png
0.029460664,93,128,06240912_proc_00443.png,1.804289818,54,31,166.9844385,2,,,5259.026102,443,.png
0.029527166,95,129,06240912_proc_00444.png,1.92323637,55,30,173.4129839,2,,,5183.627878,444,.png
0.030059187,148,82,06240912_proc_00452.png,2.865214109,50,30,130.4481216,2,,,4712.38898,452,.png
0.031588748,140,100,06240912_proc_00475.png,5.785502911,56,40,162.9322127,2,,,7037.167544,475,.png
0.031921261,142,77,06240912_proc_00480.png,2.004799604,47,31,132.1587152,2,,,4577.300496,480,.png
0.031987764,133,80,06240912_proc_00481.png,2.317259312,48,32,159.5595678,2,,,4825.486316,481,.png
0.032519785,122,129,06240912_proc_00489.png,4.364899158,66,46,52.80024804,2,,,9537.875296,489,.png
0.032586287,127,125,06240912_proc_00490.png,5.335255623,69,49,55.33759501,2,,,10621.72476,490,.png
0.03265279,131,141,06240912_proc_00491.png,4.99492836,65,43,157.5049598,2,,,8780.751467,491,.png
0.032985303,123,96,06240912_proc_00496.png,2.757143497,62,36,161.9648411,2,,,7012.034803,496,.png
0.033051806,129,83,06240912_proc_00497.png,2.883107901,49,31,156.1778523,2,,,4772.079241,497,.png
0.033051806,142,161,06240912_proc_00497.png,2.746680737,61,31,159.8037027,2,,,5940.751708,497,.png
0.033517324,100,145,06240912_proc_00504.png,3.058640718,62,23,168.0608199,2,,,4479.911124,504,.png
0.033583827,127,85,06240912_proc_00505.png,6.123635292,76,42,175.2760555,2,,,10027.96375,505,.png
0.034049345,133,170,06240912_proc_00512.png,6.387120724,65,47,179.198308,2,,,9597.565557,512,.png
0.034115848,135,178,06240912_proc_00513.png,7.231595039,64,48,22.33077074,2,,,9650.972632,513,.png
0.034581366,130,114,06240912_proc_00520.png,6.858319283,67,40,143.3926176,2,,,8419.468312,520,.png
0.034780874,150,119,06240912_proc_00523.png,3.987159014,60,36,147.3581844,2,,,6785.840132,523,.png
0.035512403,123,123,06240912_proc_00534.png,4.232757568,59,30,169.0595789,2,,,5560.618997,534,.png
0.035578905,119,123,06240912_proc_00535.png,4.505544186,63,31,165.8454848,2,,,6135.530452,535,.png
0.035645408,120,132,06240912_proc_00536.png,4.607543468,63,32,161.9584873,2,,,6333.45079,536,.png
0.037041963,144,158,06240912_proc_00557.png,2.860943317,52,27,169.53012,2,,,4410.796086,557,.png
0.037108466,148,144,06240912_proc_00558.png,4.3149786,62,35,2.779053069,2,,,6817.256058,558,.png
0.037174968,137,151,06240912_proc_00559.png,4.700456619,59,32,177.011916,2,,,5931.32693,559,.png
0.037307974,135,173,06240912_proc_00561.png,2.479530811,49,32,130.4246804,2,,,4926.017281,561,.png
0.037440979,145,98,06240912_proc_00563.png,4.060542107,49,40,167.4070214,2,,,6157.521601,563,.png
0.037507482,119,106,06240912_proc_00564.png,5.853692055,53,36,160.2933675,2,,,5994.158783,564,.png
0.038505021,124,146,06240912_proc_00579.png,4.064309597,52,33,165.674923,2,,,5390.972994,579,.png
0.039037042,126,82,06240912_proc_00587.png,4.745331287,58,36,158.1257881,2,,,6559.645461,587,.png
0.039103545,120,84,06240912_proc_00588.png,3.587937593,56,38,146.241749,2,,,6685.309167,588,.png
0.039170047,128,79,06240912_proc_00589.png,3.852789402,61,33,143.624803,2,,,6324.026012,589,.png
0.03950256,124,134,06240912_proc_00594.png,3.863050699,68,42,167.6158698,2,,,8972.388619,594,.png
0.039569063,119,148,06240912_proc_00595.png,4.503928185,65,34,176.7469021,2,,,6942.919764,595,.png
0.040034581,129,171,06240912_proc_00602.png,7.222837925,69,50,23.97387178,2,,,10838.49465,602,.png
0.040101084,140,71,06240912_proc_00603.png,3.107554913,49,27,154.6986144,2,,,4156.327081,603,.png
0.040101084,133,165,06240912_proc_00603.png,5.974517822,64,44,175.5756438,2,,,8846.724913,603,.png
0.040167587,127,165,06240912_proc_00604.png,6.54838562,66,50,129.0498965,2,,,10367.25576,604,.png
0.040234089,127,163,06240912_proc_00605.png,6.701050282,69,54,174.7819566,2,,,11705.57423,605,.png
0.040300592,127,157,06240912_proc_00606.png,6.197262764,71,54,153.1763342,2,,,12044.86623,606,.png
0.040433597,136,105,06240912_proc_00608.png,5.10752964,68,53,146.9999718,2,,,11322.29992,608,.png
0.0405001,130,107,06240912_proc_00609.png,6.51718235,72,48,163.6873636,2,,,10857.34421,609,.png
0.040566602,126,109,06240912_proc_00610.png,6.922367096,67,36,157.9875485,2,,,7577.52148,610,.png
0.040633105,126,83,06240912_proc_00611.png,7.195793629,74,55,23.11429589,2,,,12786.2821,611,.png
0.040699608,125,82,06240912_proc_00612.png,7.317941666,71,51,15.91314036,2,,,11375.707,612,.png
0.04076611,127,94,06240912_proc_00613.png,5.235671997,74,52,172.7367726,2,,,12088.84853,613,.png
0.040965618,125,160,06240912_proc_00616.png,5.298758507,69,45,178.9242216,2,,,9754.645189,616,.png
0.041032121,118,70,06240912_proc_00617.png,3.468379498,60,46,33.1306078,2,,,8670.795724,617,.png
0.041032121,123,154,06240912_proc_00617.png,4.46480751,68,43,175.3792332,2,,,9186.016919,617,.png
0.041098623,123,80,06240912_proc_00618.png,5.449463844,61,42,27.8029151,2,,,8048.760378,618,.png
0.041098623,135,163,06240912_proc_00618.png,2.967958212,72,37,168.1123853,2,,,8369.202829,618,.png
0.041165126,126,78,06240912_proc_00619.png,6.116199493,74,52,13.48412702,2,,,12088.84853,619,.png
0.041165126,126,166,06240912_proc_00619.png,4.103223324,68,41,6.605135291,2,,,8758.760318,619,.png
0.041231629,126,86,06240912_proc_00620.png,6.106472015,75,53,11.11449192,2,,,12487.8308,620,.png
0.041298131,127,78,06240912_proc_00621.png,5.523655891,68,54,32.44116509,2,,,11535.92822,621,.png
0.041497639,121,144,06240912_proc_00624.png,6.230003357,78,55,7.421299354,2,,,13477.43248,624,.png
0.041564142,117,150,06240912_proc_00625.png,6.530060768,75,57,13.32115016,2,,,13430.30859,625,.png
0.041630644,117,152,06240912_proc_00626.png,7.588681698,74,55,171.1781891,2,,,12786.2821,626,.png
0.041697147,118,159,06240912_proc_00627.png,6.425376415,72,54,148.1452647,2,,,12214.51224,627,.png
0.04176365,125,149,06240912_proc_00628.png,6.088796616,80,57,127.8349869,2,,,14325.6625,628,.png
0.041963158,139,88,06240912_proc_00631.png,6.66097641,74,57,31.62405248,2,,,13251.23781,631,.png
0.04202966,129,87,06240912_proc_00632.png,6.481759071,68,49,19.50825312,2,,,10467.78672,632,.png
0.042096163,132,89,06240912_proc_00633.png,6.04467535,72,54,9.046954386,2,,,12214.51224,633,.png
0.042162665,135,87,06240912_proc_00634.png,6.275230408,72,58,28.97062986,2,,,13119.29092,634,.png
0.042162665,127,174,06240912_proc_00634.png,4.345508099,69,44,3.651454135,2,,,9537.875296,634,.png
0.042229168,128,83,06240912_proc_00635.png,6.192928791,69,59,45.03251295,2,,,12789.42369,635,.png
0.042229168,124,171,06240912_proc_00635.png,4.450704575,61,39,178.4264105,2,,,7473.848923,635,.png
0.042428676,122,163,06240912_proc_00638.png,5.333564281,79,54,20.91413315,2,,,13402.03426,638,.png
0.042495179,120,163,06240912_proc_00639.png,3.425353765,62,43,146.4300232,2,,,8375.486014,639,.png
0.042561681,130,78,06240912_proc_00640.png,5.368009567,72,46,179.8124998,2,,,10404.95487,640,.png
0.042561681,127,154,06240912_proc_00640.png,3.397578478,62,44,159.7546926,2,,,8570.264759,640,.png
0.042628184,127,78,06240912_proc_00641.png,6.01146698,68,45,176.0495834,2,,,9613.27352,641,.png
0.042628184,138,157,06240912_proc_00641.png,3.359005451,58,42,179.9419195,2,,,7652.919704,641,.png
0.042694686,125,83,06240912_proc_00642.png,7.52324295,75,51,3.737964884,2,,,12016.5919,642,.png
0.042694686,141,164,06240912_proc_00642.png,2.986605167,52,33,178.6634996,2,,,5390.972994,642,.png
0.042761189,136,84,06240912_proc_00643.png,7.362915993,73,49,148.9746068,2,,,11237.47692,643,.png
0.0430272,127,153,06240912_proc_00647.png,6.320093155,70,47,161.9080856,2,,,10335.83983,647,.png
0.043093702,124,151,06240912_proc_00648.png,5.61452055,80,46,160.7450649,2,,,11561.06097,648,.png
0.043160205,133,150,06240912_proc_00649.png,6.335417747,76,41,158.7790804,2,,,9789.202709,649,.png
0.043226707,132,65,06240912_proc_00650.png,3.864894629,67,36,27.88452049,2,,,7577.52148,650,.png
0.043226707,130,149,06240912_proc_00650.png,6.43717432,76,50,5.156228052,2,,,11938.05208,650,.png
0.04329321,126,143,06240912_proc_00651.png,5.569281101,77,50,14.39653101,2,,,12095.13172,651,.png
0.043559221,127,78,06240912_proc_00655.png,6.799380302,74,53,4.824003382,2,,,12321.32639,655,.png
0.043625723,123,77,06240912_proc_00656.png,5.900629997,77,46,2.859880674,2,,,11127.52118,656,.png
0.043625723,130,152,06240912_proc_00656.png,3.354101181,59,33,148.3105997,2,,,6116.680897,656,.png
0.043692226,131,83,06240912_proc_00657.png,7.199176788,84,61,12.39752076,2,,,16097.52076,657,.png
0.043758728,132,155,06240912_proc_00658.png,4.099265099,68,38,8.435065059,2,,,8117.875417,658,.png
0.044024739,124,83,06240912_proc_00662.png,5.261753082,70,49,37.27481824,2,,,10775.6628,662,.png
0.044091242,125,92,06240912_proc_00663.png,6.587962151,82,56,31.84384797,2,,,14426.19347,663,.png
0.044157744,124,87,06240912_proc_00664.png,6.815936089,80,59,32.19686629,2,,,14828.31732,664,.png
0.044224247,120,86,06240912_proc_00665.png,6.488059044,76,52,18.23485656,2,,,12415.57417,665,.png
0.044290749,142,77,06240912_proc_00666.png,6.35251379,79,61,30.0245622,2,,,15139.335,666,.png
0.044490257,126,161,06240912_proc_00669.png,6.216559887,68,58,177.4464838,2,,,12390.44143,669,.png
0.04455676,138,90,06240912_proc_00670.png,6.940293312,77,56,171.2165466,2,,,13546.54752,670,.png
0.04455676,137,161,06240912_proc_00670.png,5.614657402,69,51,171.6936832,2,,,11055.26455,670,.png
0.044623263,130,160,06240912_proc_00671.png,6.0779109,67,42,172.407864,2,,,8840.441727,671,.png
0.044689765,133,151,06240912_proc_00672.png,7.046197891,68,49,7.034588984,2,,,10467.78672,672,.png
0.044756268,132,155,06240912_proc_00673.png,8.026272774,75,50,12.35479195,2,,,11780.97245,673,.png
0.04482277,131,174,06240912_proc_00674.png,6.926213264,71,56,6.633582602,2,,,12490.97239,674,.png
